date,headline_index,headline_1m_pct,headline_3m_annualised_pct,headline_12m_pct,ex_games_index,ex_games_1m_pct,ex_games_3m_annualised_pct,ex_games_12m_pct,telecom_computing_index,telecom_computing_1m_pct,telecom_computing_3m_annualised_pct,telecom_computing_12m_pct,audio_visual_optical_index,audio_visual_optical_1m_pct,audio_visual_optical_3m_annualised_pct,audio_visual_optical_12m_pct,media_games_index,media_games_1m_pct,media_games_3m_annualised_pct,media_games_12m_pct
2024-07-01,88.59477870958955,-0.9509879490680273,-5.383180977925461,-4.603967695265876,81.17688057977304,-2.0434156427289185,-3.9761485337449276,-4.657567099958603,78.21844841279264,-3.292336539180274,-1.878398055984698,-6.124961297939802,82.456871244116,-0.0442563895020176,-8.8605913327916,-2.2955297065436864,99.66326119485028,1.9467515714297834,-7.525054929704589,-3.8026298276701787
2024-08-01,90.02571176481071,1.61514377716514,-10.262203878509757,-4.107719941091171,82.62303587743963,1.7814866589329625,-7.347434724192848,-4.590242178949633,80.10530034850018,2.4122850478314417,-12.307520644007841,-5.747682277412336,83.37245056184717,1.1103735855082064,3.0778451993782596,-2.62766901968865,100.50714551706321,0.8467356095874345,-16.79131482962104,-2.1132928498091452
2024-09-01,90.94528519903672,1.0214564441638263,6.878127998962547,-4.042451517161327,83.34379619266153,0.8723478961618403,2.3053184855913234,-2.9594192651607787,81.18077898940265,1.342581122876485,1.4891540132646375,-3.0376655824029153,83.17841843460506,-0.2327293079842696,3.3632708369260467,-2.80642789349822,102.07613205026873,1.5610696385155443,18.86390988096387,-6.598698510972412
2024-10-01,90.41646268928719,-0.5814732545971868,8.4819638661352,-5.472511497070798,81.46805212357991,-2.2506103090691454,1.4424889760758397,-6.12729139835505,78.21584161404213,-3.6522652434113345,-0.013330197622152262,-8.534727380832418,83.37331720926497,0.23431411455980822,4.5203650347298785,-2.4395534282820375,105.51236836252956,3.366346513373575,25.624142223749867,-3.9676807736720887
2024-11-01,90.25413075555456,-0.17953802759401727,1.0187747325687724,-3.037132302404766,79.13583750702804,-2.8627352143071993,-15.84339296393984,-7.048818718717975,76.37161083898191,-2.35787372097922,-17.38045648473614,-8.231961451718028,80.22098682290768,-3.7809823236911844,-14.284032252876456,-5.155546495655972,111.48156420484383,5.657342295459378,51.36464942820125,6.764574444203353
2024-12-01,89.03650995556845,-1.3491025726943495,-8.134645336268854,-2.278434792877937,80.12077320270991,1.2446139785838417,-14.594190217102376,-3.8223136018673443,78.105130407692,2.269848114589279,-14.314883827335123,-4.489952855548651,79.79459289149737,-0.5315241663027548,-15.306277857791573,-3.0153433022734433,104.12677844104454,-6.597311238192816,8.281162065515346,1.5953890118018732
2025-01-01,92.73342171821497,4.15213013682969,10.650935478240807,-0.7373184894497897,82.3234554331568,2.749202413304186,4.266557333071441,-3.009161782960257,79.33170695134062,1.5704173813501754,5.829880277013433,-4.840561752435191,83.76382627528606,4.974313722216683,1.8867488638320218,0.10729269349172288,111.73053768798799,7.302405164919823,25.740177537215935,4.772775618342351
2025-02-01,91.62336825424221,-1.1970371020556425,6.20786082209257,0.9938217990984599,82.84665904723799,0.6355462259550304,20.11774919284244,0.5110284774329621,80.05134485244601,0.9071251946548786,20.71096618394852,1.4901773602329582,84.05294156019048,0.3451552988449347,20.52015098361679,-1.3190961134859625,105.41027200942112,-5.656703896133097,-20.068213203737816,1.7197289774455449
2025-03-01,89.4819289964363,-2.3372195310084165,2.0161285287360498,-4.788793294846883,81.7664161608507,-1.3039063962390518,8.47241884280836,-4.1065518894862985,79.06199131550098,-1.2358987082211392,4.991163142293997,-5.19285251606687,82.65369337076746,-1.6647224516479486,15.121172891972702,-2.479885643774671,100.44842352623786,-4.707177382807426,-13.399026810929183,-6.651163721843689
2025-04-01,88.5579111364903,-1.0326306890219072,-16.83045669054959,-1.4148907309219916,80.70613097717604,-1.2967245398023297,-7.629829142880107,-1.583265763339814,78.4147508072047,-0.8186493883178714,-4.543859510090642,-0.22316414913574611,80.87851277944976,-2.147732931128188,-13.08262589328737,-4.163078116890695,100.10698981838841,-0.33990947380101444,-35.55784503260858,-1.5002044899879552
