date,import_indicator,horizon,mechanical_c26_import_inflation_pp,estimated_import_to_basket_pass_through,estimated_ex_games_basket_inflation_pp,estimated_headline_cpi_contribution_pp,full_pass_through_cpi_contribution_pp
2026-06-01,uk_ipi_c26_12m_pct,1,3.132266851876307,-0.03452172512442453,-0.10813125527682042,-0.0013834961587648065,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,2,3.132266851876307,-0.07578754031837298,-0.2373868003244788,-0.0030372691554315765,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,3,3.132266851876307,-0.1161902693129929,-0.3639389290796685,-0.0046564530220027265,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,4,3.132266851876307,-0.13126666031513906,-0.41116220886161714,-0.005260655997500846,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,5,3.132266851876307,-0.17983856853018879,-0.5633023868959959,-0.007207228719379509,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,6,3.132266851876307,-0.23035119377413307,-0.7215214085488529,-0.009231577813819154,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,7,3.132266851876307,-0.2768249760217872,-0.8670896961644975,-0.01109406582654628,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,8,3.132266851876307,-0.3564414068890379,-1.1164696034346886,-0.014284781988105467,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,9,3.132266851876307,-0.4132483692685239,-1.294404168651737,-0.016561383576231513,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,10,3.132266851876307,-0.4961717821640307,-1.554142426108785,-0.01988463068509146,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,11,3.132266851876307,-0.534398447265967,-1.673878542065357,-0.021416606394309416,0.04007610146301659
2026-06-01,uk_ipi_c26_12m_pct,12,3.132266851876307,-0.5844005379190385,-1.830498433142487,-0.023420495252684862,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,1,3.132266851876307,0.1157410017053674,0.3625317030446814,0.004638448127775481,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,2,3.132266851876307,0.1394933645710304,0.4369304419025353,0.005590350231966178,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,3,3.132266851876307,0.1841916859795274,0.5769375123848836,0.007381684695959631,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,4,3.132266851876307,0.22788287656429462,0.7137899803725601,0.009132657282874757,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,5,3.132266851876307,0.15660515111765216,0.4905291236789016,0.006276123925822074,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,6,3.132266851876307,0.08956932733766451,0.28055503496462486,0.0035895894503583893,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,7,3.132266851876307,0.0031603936846799924,0.009899196377402362,0.00012665625797031227,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,8,3.132266851876307,-0.010806524026009552,-0.03384891699067461,-0.00043308335332888537,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,9,3.132266851876307,-0.10492186025956944,-0.32864326492824736,-0.0042048591174509535,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,10,3.132266851876307,-0.12028537739140213,-0.37676590036852065,-0.004820568988855074,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,11,3.132266851876307,-0.16893953345232465,-0.529163700604165,-0.006770437883750049,0.04007610146301659
2026-06-01,uk_ipi_c261_12m_pct,12,3.132266851876307,-0.1932200174354426,-0.6052166557319989,-0.007743505023428633,0.04007610146301659
