target,target_label,target_group,best_raw_candidate,best_raw_candidate_label,raw_lead_months,raw_correlation,raw_n,raw_familywise_p,same_lead_prewhitened_correlation,same_lead_prewhitened_familywise_p,innovation_lp_peak_months,innovation_lp_peak_response_pp,innovation_lp_peak_fdr_q,first_fdr_10_positive_month
uk_ipi_c26_12m_pct,UK C26 imports,import,oecd_asia_c26_targeted_gbp_12m_pct,OECD-weighted national prices,6,0.8345767755849169,56,0.037037037037037035,-0.058200495137488026,1.0,3,2.0356538516055247,0.059010043303556504,1.0
uk_ipi_c261_12m_pct,UK C261 components,import,cn_ppi_tech_gbp_12m_pct,China producer prices,5,0.8886179737192998,53,0.043478260869565216,0.16112878485028617,0.9090909090909091,6,1.6184971249687412,0.32014628289595565,1.0
uk_ipi_c262_12m_pct,UK C262 computers,import,oecd_asia_c26_targeted_gbp_12m_pct,OECD-weighted national prices,4,0.7436301554145501,49,0.05555555555555555,0.3018500044700379,1.0,1,2.607366458860003,0.25160129091563543,
historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,cn_ppi_tech_gbp_12m_pct,China producer prices,11,0.7012430685113944,47,0.043478260869565216,0.04203512305765672,1.0,11,5.478456777683334,1.9288858340555196e-07,1.0
historical_ex_games_12m_pct,Technology CPI ex-games,basket,cn_ppi_tech_gbp_12m_pct,China producer prices,12,0.6928280329804821,46,0.043478260869565216,0.17214262285409623,1.0,11,5.005940072502934,1.0002037924227706e-05,1.0
expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,cn_ppi_tech_gbp_12m_pct,China producer prices,10,0.8685270557075875,48,0.043478260869565216,0.3080504006276862,0.45454545454545453,9,2.7526252940796074,0.001708154189132355,1.0
