country,target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar2,full,m2_tech,m1_controls,63,1.8881383897044783,2.346931419627159,-0.16345671229549288,1.8550699472290126,2.317788996180412,1.0178259814541555,1.012573372077774,0.6349206349206349,-1.270403488356337,0.20394094132136076,-0.9442307499898962,0.8274741276156492,0.8274741276156492
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar2,full,m2_tech,m1_controls,61,2.0558379002060967,2.6117276051149356,-0.33230989963532837,2.0375889291269393,2.578191997849123,1.008956159320603,1.0130074126728306,0.7049180327868853,-1.0956625112100606,0.2732264943682,-0.9282560095615439,0.8233626064532296,0.8233626064532296
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,3,expanding_ar2,full,m2_tech,m1_controls,59,2.187486169800679,2.852530411479752,-0.33274193445734074,2.157672712369108,2.7859523979941776,1.0138174141335996,1.0238977570232388,0.6779661016949152,-1.1741917486242466,0.24031823033272637,-1.0072118000176322,0.8430834981424737,0.9435254115922529
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,4,expanding_ar2,full,m2_tech,m1_controls,57,2.451986610905379,3.176993271854833,-0.3407959334999019,2.364649828889695,3.053887898003159,1.0369343405305351,1.0403110323506533,0.6666666666666666,-1.203073973835008,0.22894769581943086,-0.9145088955010927,0.8197752470808658,0.8926463243556418
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar2,full,m2_tech,m1_controls,55,2.6990291166889278,3.5432713605688146,-0.3314193157882643,2.546692905837003,3.3082724957743586,1.0598172675247852,1.0710337087088864,0.6,-1.2850663161057987,0.19876911106446693,-0.8973453510582948,0.8152326680693924,0.8479581532517821
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,6,expanding_ar2,full,m2_tech,m1_controls,53,3.0487109062114413,3.9448077245367443,-0.14430595431681037,2.6887756268156116,3.476818633355377,1.1338658666071406,1.1346026757598582,0.5471698113207547,-1.5449386254299913,0.12236110949578796,-1.0741556585531757,0.8586235389151387,0.965967130822114
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,7,expanding_ar2,full,m2_tech,m1_controls,51,3.388246057480685,4.212361322751615,0.16836673616771908,2.729542417548049,3.5010681244805824,1.2413238335106551,1.2031646266170728,0.7254901960784313,-1.5723390770050518,0.11587193504984473,-1.0221812799569934,0.8466524454008802,0.9530997080495721
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,8,expanding_ar2,full,m2_tech,m1_controls,49,3.829085647915862,4.611159425978318,0.32974775447883165,2.9440572971438015,3.675438484901649,1.300615192384563,1.2545875668768562,0.6530612244897959,-1.6772351154860723,0.09349651484323081,-1.3052493377696872,0.9040960204960724,0.9040960204960724
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,9,expanding_ar2,full,m2_tech,m1_controls,48,4.304340000435077,5.142489411247505,0.5882388356266898,3.2451716511160904,3.9467264829418864,1.3263828429398221,1.3029758797509317,0.6041666666666666,-1.5938269533475593,0.11097479882049807,-1.3611608109285627,0.9132685621743698,0.9132685621743698
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,10,expanding_ar2,full,m2_tech,m1_controls,46,4.648277244093757,5.576912602556457,0.7231969662509907,3.5321973087541148,4.234020221391094,1.3159732703984504,1.3171672101093919,0.6956521739130435,-1.4236785911547276,0.15453953383825225,-1.2328913930093224,0.8911918564715352,0.8911918564715352
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,11,expanding_ar2,full,m2_tech,m1_controls,44,4.486341144657544,5.509611785865058,0.5505404900052254,3.622122181349111,4.3342138327465385,1.2385946470161706,1.2711905776863077,0.75,-1.3292027017163799,0.18378110398748926,-1.1957848409968888,0.8841097334905771,0.8841097334905771
Japan,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,12,expanding_ar2,full,m2_tech,m1_controls,42,4.902940492534801,6.07899747572147,0.6143375979726662,4.134365023451165,4.883105424874594,1.1858992770894878,1.2449039999740716,0.6666666666666666,-1.3345848444970854,0.18201226100378942,-1.2720194627666663,0.8983168979156114,0.8983168979156114
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar2,full,m2_tech,m1_controls,63,1.3013281291072822,1.7211259165912691,-0.02983059033793836,1.328209171394635,1.7272104873262712,0.9797614390366487,0.9964772268466127,0.6984126984126984,0.25946481499631113,0.7952766262106611,0.6196467314882375,0.2677451965307417,0.35699359537432224
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,2,expanding_ar2,full,m2_tech,m1_controls,61,1.761533958543452,2.133108203253559,0.04415054931598228,1.778052816600226,2.1221840792042914,0.990709579657842,1.005147585525834,0.7213114754098361,-0.20644305391368167,0.8364448429048665,0.3191836305281075,0.37479363461362497,0.4997248461515
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,3,expanding_ar2,full,m2_tech,m1_controls,59,2.1038645324332794,2.6640973958341245,0.04992346048984747,2.1108889577560115,2.6678596970671924,0.99667229045994,0.9985897679562371,0.7796610169491526,0.034371904135903894,0.972580587480183,0.6851026436812306,0.24663957606789774,0.3288527680905303
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,4,expanding_ar2,full,m2_tech,m1_controls,57,2.1031012385342738,2.7507835290128666,0.004494840034223189,2.1981377850920505,2.7453632187332953,0.9567649729683361,1.0019743508773575,0.7894736842105263,-0.02453538934130515,0.980425555592383,0.8318985688593815,0.2027330998687002,0.3243729597899203
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,5,expanding_ar2,full,m2_tech,m1_controls,55,2.314305656389338,3.0182548259352,0.14547486947253926,2.338000361697113,2.9069150520987552,0.9898653970735166,1.0383016950412978,0.7272727272727273,-0.3086786175702925,0.7575660107479067,0.6772151038542228,0.24913474303809713,0.3321796573841295
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,6,expanding_ar2,full,m2_tech,m1_controls,53,2.5818844797410865,3.390667188099075,0.289192142686488,2.603451791086435,3.062731918377537,0.9917158783507382,1.1070727959420164,0.6981132075471698,-0.5885380341447385,0.556171212497811,0.49705625957158783,0.3095746892526965,0.49531950280431436
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,7,expanding_ar2,full,m2_tech,m1_controls,51,2.5594773464668146,3.494116754690145,0.5779957785445212,2.2394895023684693,2.777638124006062,1.142884279546713,1.2579452753372848,0.7254901960784313,-0.9111475458358711,0.3622176375659192,0.407027537997487,0.34199388133580744,0.5796531062920283
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,8,expanding_ar2,full,m2_tech,m1_controls,49,3.4294358195959074,4.302366448209206,1.0404382459788946,2.515031914643226,3.030711555289808,1.3635754678216063,1.4195895484345415,0.6326530612244898,-1.4433430991223537,0.1489238444449939,-0.05379473539444038,0.521450648002729,0.6118638475969338
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,9,expanding_ar2,full,m2_tech,m1_controls,48,3.879496473094416,4.820537354868355,1.5053803564623092,2.1008991359658657,2.659045323338181,1.8465886375410685,1.81288273372363,0.625,-1.8089784350594516,0.07045435367669284,-0.70068465425495,0.758250082523199,0.7919969373533795
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,10,expanding_ar2,full,m2_tech,m1_controls,46,4.533179155716042,5.605771937889593,1.8486297617711025,2.3508892032186868,2.9411985738510276,1.9282827746664981,1.9059481354738095,0.6086956521739131,-1.7365338340039302,0.08246948730532785,-1.2313540834993988,0.8909047688723659,0.8909047688723659
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,11,expanding_ar2,full,m2_tech,m1_controls,44,4.879834398202356,6.357367122066754,2.1014780572273777,2.759229389389376,3.466088187629816,1.768549732388243,1.8341619652828438,0.6136363636363636,-1.6040829104092267,0.1086957783189521,-1.3668024766488744,0.9141563868507349,0.9141563868507349
Japan,ex_games_12m_pct,jp_epi_electronics_gbp_12m_pct,12,expanding_ar2,full,m2_tech,m1_controls,42,5.291163101993687,7.049346542510308,2.1938330982060226,3.413063574649522,4.230338079864759,1.5502679590540656,1.6663790007855992,0.5714285714285714,-1.4723203438485715,0.14093439215866282,-1.3161294642670345,0.9059347034377097,0.9059347034377097
South Korea,headline_12m_pct,kr_epi_tech_gbp_12m_pct,1,expanding_ar2,full,m2_tech,m1_controls,23,1.791387498063261,2.3441845116694697,-0.5202989204815176,1.7363111348902407,2.21083120798024,1.0317203305711116,1.0603181749958461,0.5652173913043478,-0.9725986361502661,0.33075282075806145,-0.710241751958923,0.76122288315788,0.8274741276156492
South Korea,headline_12m_pct,kr_epi_tech_gbp_12m_pct,2,expanding_ar2,full,m2_tech,m1_controls,22,1.9327503624592366,2.437362643540468,-0.863356799018985,1.7815985303335111,2.2498775861471825,1.0848405684851066,1.083331225906537,0.7727272727272727,-1.3625123217820827,0.17303625820892166,-0.8643755157586868,0.8063091807358812,0.8233626064532296
South Korea,headline_12m_pct,kr_epi_tech_gbp_12m_pct,3,expanding_ar2,full,m2_tech,m1_controls,20,1.9681447818364268,2.4692677761980804,-0.7693634235622132,1.760152327195114,2.248484408093028,1.1181673037201039,1.098192083214089,0.6,-1.5735736022707052,0.1155860600383229,-1.5850755199119457,0.9435254115922529,0.9435254115922529
South Korea,headline_12m_pct,kr_epi_tech_gbp_12m_pct,4,expanding_ar2,full,m2_tech,m1_controls,18,2.1072203974617434,2.5589670345176994,-1.179047280369852,2.0050134050017077,2.4575810293314833,1.05097571527705,1.0412543895709494,0.6111111111111112,-1.3819800714910766,0.16697782018577723,-1.2407250117115756,0.8926463243556418,0.8926463243556418
South Korea,headline_12m_pct,kr_epi_tech_gbp_12m_pct,5,expanding_ar2,full,m2_tech,m1_controls,16,2.189127996580417,2.735898425500611,-1.6347760624171483,2.1987852493850313,2.709312850300061,0.9956079145031033,1.0098126634573064,0.625,-0.2659778343294742,0.7902562799747834,-0.03620420682617712,0.5144402341859923,0.8231043746975877
South Korea,headline_12m_pct,kr_epi_tech_gbp_12m_pct,6,expanding_ar2,full,m2_tech,m1_controls,15,2.6764881094365487,3.2135487667567206,-2.353477665260841,2.631937015317688,3.143903070392255,1.0169271125637036,1.0221526220131767,0.4,-0.5469713616002377,0.58439840735188,-0.37152225181728993,0.6448757072595058,0.8598342763460077
South Korea,headline_12m_pct,kr_epi_tech_gbp_12m_pct,7,expanding_ar2,full,m2_tech,m1_controls,13,2.686039216259086,3.1458581813494204,-2.500851568656711,2.5667103816529244,3.031044324892399,1.0464909619172986,1.0378793063216247,0.6923076923076923,-0.5485755427495583,0.5832967737906063,-0.44782405078081305,0.6728599077672008,0.8971465436896011
South Korea,ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,1,expanding_ar2,full,m2_tech,m1_controls,23,1.6887174471547959,2.0488207481825382,-0.09314621260660169,1.8027840363260317,2.0973743119061408,0.9367275353715152,0.9768503106727402,0.6521739130434783,0.5425116740341255,0.5874660675331922,1.0011958497125204,0.15836606632596914,0.35699359537432224
South Korea,ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,2,expanding_ar2,full,m2_tech,m1_controls,22,2.075865972449358,2.4433931792791146,-0.1695189105199621,2.180596967430023,2.509784650220445,0.9519714112488668,0.9735469451789425,0.6363636363636364,0.6140448836518755,0.5391856680605354,1.0724427320790908,0.14176061161415193,0.28352122322830386
South Korea,ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,3,expanding_ar2,full,m2_tech,m1_controls,20,2.041345645096853,2.5421594075790446,-0.008032499777900303,2.132679990863194,2.6369429211021624,0.9571739097484692,0.9640555308328399,0.8,0.878967617926266,0.37941883379621233,1.173857982051424,0.12022595746820444,0.22388978264896292
South Korea,ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,4,expanding_ar2,full,m2_tech,m1_controls,18,2.2736562463867225,2.744826733146509,-0.36655846561936695,2.247933700708844,2.7045506211342425,1.0114427510338795,1.0148919793541802,0.5555555555555556,-0.574705302435745,0.5654906207637286,-0.5172105631809801,0.6974954105103665,0.8322383147029387
South Korea,ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,5,expanding_ar2,full,m2_tech,m1_controls,16,1.99751258496168,2.369903486378855,-0.2890314840504322,2.0575751150915145,2.4176262028229383,0.9708090704979375,0.9802605066124945,0.625,1.4023746146108456,0.16080340976571195,1.3600031057800992,0.08691447053671776,0.17382894107343552
South Korea,ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,6,expanding_ar2,full,m2_tech,m1_controls,15,2.314572121826335,2.5181468670787686,-1.2319817848990016,2.292777414273273,2.46801747368725,1.0095058104713448,1.020311603919329,0.6,-1.1197223708716249,0.26283208888253484,-0.9384398908883484,0.8259908030862322,0.9256145150023316
South Korea,ex_games_12m_pct,kr_epi_tech_gbp_12m_pct,7,expanding_ar2,full,m2_tech,m1_controls,13,1.9747458922679135,2.547922729798362,-1.7527474365897615,1.829160121283341,2.4858031766413093,1.0795915946835914,1.024989731182573,0.6153846153846154,-0.5514716297852216,0.5813104095385444,-0.3704016107112235,0.6444583630761551,0.8592778174348735
China,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,1,short_expanding_ar2_min36,full,m2_tech,m1_controls,21,2.112728632803994,2.6754020664960896,-1.1539891769022763,1.9599138736761026,2.668775294179006,1.077970140004808,1.0024830761628891,0.6190476190476191,-0.025444922355239225,0.9797000798360611,0.645530932914788,0.25929158960432963,0.5185831792086593
China,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,2,short_expanding_ar2_min36,full,m2_tech,m1_controls,20,2.5507857853348948,3.1053548077471973,-1.2090050296120995,2.0308370641143894,2.652028694532622,1.2560268031385597,1.1709355989055263,0.65,-2.219233642066032,0.026470833433328525,-1.371950649599128,0.9149605993294244,0.9354734556969225
China,headline_12m_pct,cn_ppi_tech_gbp_12m_pct,3,short_expanding_ar2_min36,full,m2_tech,m1_controls,19,2.409381084917156,2.8214777208112714,-1.263350873500927,1.8459989587877164,2.467149483361194,1.3051909230216565,1.1436184713734279,0.631578947368421,-1.8824902406418174,0.05976948372580256,-0.49653321144673274,0.6902408692306435,0.8571510526960485
