target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,5,expanding_ar1,57,1.0116786587621271,0.6842105263157895,0.1290632764714072,0.2270347238064291
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,6,expanding_ar1,55,1.0446631918232372,0.6,0.2190538403635729,0.3285807605453593
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,7,expanding_ar1,53,1.1611236845868018,0.7547169811320755,0.1794566749936573,0.2725944145955092
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,8,expanding_ar1,51,1.2218628076836775,0.6862745098039216,0.286090072557734,0.4839990505546309
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,9,expanding_ar1,49,1.4054740813374302,0.673469387755102,0.2807851309868043,0.4622139272648997
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,10,expanding_ar1,47,1.7328216601374802,0.7446808510638298,0.5082254089232581,0.6680401775213892
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,11,expanding_ar1,45,2.047833229304144,0.6888888888888889,0.7855751549984646,0.9059263155935344
headline_12m_pct,uk_ipi_c26_noneu_12m_pct,12,expanding_ar1,43,1.8264676786834104,0.6744186046511628,0.9657559638563382,0.9657559638563382
headline_12m_pct,uk_ipi_c261_12m_pct,1,expanding_ar1,65,0.962937554443522,0.6461538461538462,0.0065941503305601,0.0395649019833611
headline_12m_pct,uk_ipi_c261_12m_pct,2,expanding_ar1,63,0.931190999627716,0.6984126984126984,0.0007194969027772,0.0043169814166633
headline_12m_pct,uk_ipi_c261_12m_pct,3,expanding_ar1,61,0.9437397015697994,0.6885245901639344,0.0015059267726759,0.0090355606360556
headline_12m_pct,uk_ipi_c261_12m_pct,4,expanding_ar1,59,0.9357013816809,0.6271186440677966,0.0004764855625735,0.0028589133754413
headline_12m_pct,uk_ipi_c261_12m_pct,5,expanding_ar1,57,0.9823199700172562,0.7017543859649122,0.0467030796358734,0.2270347238064291
headline_12m_pct,uk_ipi_c261_12m_pct,6,expanding_ar1,55,1.0143739949663495,0.6727272727272727,0.8605405117286176,0.8605405117286176
headline_12m_pct,uk_ipi_c261_12m_pct,7,expanding_ar1,53,1.019326763701787,0.7735849056603774,0.9356364881857624,0.9356364881857624
headline_12m_pct,uk_ipi_c261_12m_pct,8,expanding_ar1,51,1.0158863211286304,0.7058823529411765,0.7978703646966238,0.7978703646966238
headline_12m_pct,uk_ipi_c261_12m_pct,9,expanding_ar1,49,1.017366553761562,0.7346938775510204,0.6005562353852374,0.6005562353852374
headline_12m_pct,uk_ipi_c261_12m_pct,10,expanding_ar1,47,1.0236665706092718,0.8297872340425532,0.5959447211319715,0.6680401775213892
