"Title","CPI WEIGHTS 07.1.1A : NEW CARS"
"CDID","CJXN"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Parts per 1000"
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"1996","13.0000"
"1997","12.0000"
"1998","18.0000"
"1999","21.0000"
"2000","34.0000"
"2001","29.0000"
"2002","28.0000"
"2003","31.0000"
"2004","32.0000"
"2005","33.0000"
"2006","31.0000"
"2007","27.0000"
"2008","26.0000"
"2009","26.0000"
"2010","23.0000"
"2011","25.0000"
"2012","24.0000"
"2013","21.0000"
"2014","23.0000"
"2015","24.0000"
"2016","25.0000"
"2017","27.0000"
"2018","28.0000"
"2019","26.0000"
"2020","23.0000"
"2021","22.0000"
"2022","22.0000"
"2023","18.0000"
"2024","16.6727"
"2025","16.3900"
"2026","16.6983"
