"Title","CPI WEIGHTS 09.1.1.2 Equipment for the reception, recording and reproduction of sound and vision"
"CDID","L8CD"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","3.2000"
"2016","3.2000"
"2017","2.5600"
"2018","3.2000"
"2019","3.1000"
"2020","2.3600"
"2021","3.9900"
"2022","3.3600"
"2023","2.6000"
"2024","1.5253"
"2025","1.6217"
"2026","1.0692"
