"Title","CPI WEIGHTS 09.1.1.9 Other equipment for the reception, recording and reproduction of sound and picture"
"CDID","L8CF"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","0.2500"
"2016","0.2500"
"2017","0.2000"
"2018","0.2500"
"2019","0.3000"
"2020","0.2800"
"2021","0.4900"
"2022","0.4200"
"2023","0.3500"
"2024","0.2070"
"2025","0.2246"
"2026","0.1875"
