"Title","CPI WEIGHTS 09.1.1.3 Portable sound and vision devices"
"CDID","L8CE"
"Source dataset ID","MM23"
"PreUnit",""
"Unit",""
"Release date","19-08-2026"
"Next release","16 September 2026"
"Important notes",
"2015","0.3500"
"2016","0.3500"
"2017","0.2800"
"2018","0.3500"
"2019","0.3500"
"2020","0.3200"
"2021","0.6300"
"2022","0.5400"
"2023","0.5000"
"2024","0.3339"
"2025","0.4638"
"2026","0.3875"
