origin,scenario,scenario_label,horizon,factor_z,baseline_factor_z,innovation_z,implied_c26_pressure_pp,current_observed_c26_pressure_pp,factor_to_pressure_slope,factor_to_pressure_r_squared
2026-06-01,intensifying,Intensifying pressure,0,1.0237014322935047,1.0237014322935047,1.1218637301219851,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,1,1.1889601363300177,1.1126484540320427,0.2416016258013118,3.8302822059169976,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,2,1.354218840366531,1.0647564715890607,0.6065493941192814,4.528297559957689,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,3,1.5194775444030442,0.9714328271963013,0.6462995039129825,5.226312913998382,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,4,1.6847362484395572,0.8689076478748108,0.6860496137066836,5.924328268039073,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,5,1.8499949524760702,0.7708720665502133,0.7257997235003847,6.6223436220797645,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,6,2.0152536565125834,0.6818946048192773,0.7655498332940871,7.320358976120456,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,7,2.0152536565125834,0.602925344060334,0.2820933989424629,7.320358976120456,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,8,2.0152536565125834,0.5335446183010992,0.4697142790959838,7.320358976120456,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,9,2.0152536565125834,0.4728734564674615,0.4697142790959838,7.320358976120456,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,10,2.0152536565125834,0.419934960516819,0.4697142790959838,7.320358976120456,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,11,2.0152536565125834,0.3737913348617298,0.4697142790959838,7.320358976120456,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,intensifying,Intensifying pressure,12,2.0152536565125834,0.33359005409173514,0.4697142790959838,7.320358976120456,3.132266851876307,4.223773616707465,0.9890006827950034
2026-06-01,sustained,Sustained pressure,0,1.0237014322935047,1.0237014322935047,1.1218637301219851,3.132266851876307,3.132266851876307,4.223773616707465,0.9890006827950034
