target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,full,m1_controls,m0_ar,65,1.8600591254741714,2.3284969485709723,-0.33282469206436827,1.852037651697892,2.3192329080040652,1.0043311612854768,1.0039944416685946,0.5846153846153846,-0.14823650821854806,0.8821561206893541,0.6153147549405781,0.26917343759798895,0.26917343759798895
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,full,m2_tech,m1_controls,65,1.8900132531365053,2.380188459784205,-0.3842938800432375,1.8600591254741714,2.3284969485709723,1.0161038578032824,1.0221995185542143,0.6,-1.8599680962317133,0.06289003986567585,-1.627683108450415,0.9482039517066814,0.9482039517066814
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,full,m2_tech,m0_ar,65,1.8900132531365053,2.380188459784205,-0.3842938800432375,1.852037651697892,2.3192329080040652,1.0205047674942236,1.0262826349047445,0.6,-0.9135662282360663,0.36094481873729445,-0.07050906583990026,0.5281057574929309,0.6750625868612304
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,pandemic_2020_2022,m1_controls,m0_ar,23,2.176845311285389,2.598316792848873,-0.41604548997998025,2.070597634521817,2.533117803820761,1.0513125655087059,1.0257386328143803,0.6521739130434783,-0.48598440725795883,0.6269782213527963,0.10557525463118471,0.4579596794730173,0.4579596794730173
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,pandemic_2020_2022,m2_tech,m1_controls,23,2.25541798458438,2.6999813577499427,-0.4593708492667654,2.176845311285389,2.598316792848873,1.0360947435684325,1.0391270861123911,0.6521739130434783,-2.035279579779286,0.04182274965374957,-1.9881715581631478,0.9766036402951458,0.9766036402951458
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,pandemic_2020_2022,m2_tech,m0_ar,23,2.25541798458438,2.6999813577499427,-0.4593708492667654,2.070597634521817,2.533117803820761,1.0892594229710133,1.065872796629315,0.6521739130434783,-1.2103971531860702,0.22612653375994096,-0.5945850708183171,0.7239395690966476,0.9022969915622033
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,post_2022,m1_controls,m0_ar,42,1.6865809761013615,2.1665455221431094,-0.28725139796772353,1.732350042056219,2.1932847171331264,0.9735797818895009,0.9878086074365355,0.5476190476190477,0.4652170243677876,0.6417760483756947,0.9387033197472187,0.17394154426664624,0.17394154426664624
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,post_2022,m2_tech,m1_controls,42,1.6899106621055267,2.1853223970787456,-0.34318030165892466,1.6865809761013615,2.1665455221431094,1.001974222436602,1.0086667345521836,0.5714285714285714,-0.59302973201086,0.5531612546456863,-0.3213642784298759,0.6260328248748488,0.7803345590583204
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,post_2022,m2_tech,m0_ar,42,1.6899106621055267,2.1853223970787456,-0.34318030165892466,1.732350042056219,2.1932847171331264,0.9755018449387292,0.9963696824255501,0.5714285714285714,0.12526116749382618,0.9003167938437001,0.6689513179007022,0.25176326641926855,0.2633657700850178
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,ex_pandemic,m1_controls,m0_ar,42,1.6865809761013615,2.1665455221431094,-0.28725139796772353,1.732350042056219,2.1932847171331264,0.9735797818895009,0.9878086074365355,0.5476190476190477,0.4652170243677876,0.6417760483756947,0.9387033197472187,0.17394154426664624,0.17394154426664624
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,ex_pandemic,m2_tech,m1_controls,42,1.6899106621055267,2.1853223970787456,-0.34318030165892466,1.6865809761013615,2.1665455221431094,1.001974222436602,1.0086667345521836,0.5714285714285714,-0.59302973201086,0.5531612546456863,-0.3213642784298759,0.6260328248748488,0.7803345590583204
headline_12m_pct,uk_ipi_c26_12m_pct,1,expanding_ar1,ex_pandemic,m2_tech,m0_ar,42,1.6899106621055267,2.1853223970787456,-0.34318030165892466,1.732350042056219,2.1932847171331264,0.9755018449387292,0.9963696824255501,0.5714285714285714,0.12526116749382618,0.9003167938437001,0.6689513179007022,0.25176326641926855,0.2633657700850178
headline_12m_pct,uk_ipi_c26_12m_pct,2,expanding_ar1,full,m1_controls,m0_ar,63,1.99725290330664,2.524203911775579,-0.48440564621243865,2.0274147749035216,2.491422127635264,0.9851229891533582,1.0131578602343994,0.6507936507936508,-0.676044320802522,0.4990125059641589,-0.10933358106917335,0.5435310438012162,0.5435310438012162
headline_12m_pct,uk_ipi_c26_12m_pct,2,expanding_ar1,full,m2_tech,m1_controls,63,2.092561890836748,2.5976522152052106,-0.6691638389021457,1.99725290330664,2.524203911775579,1.0477200395464765,1.0290976109683494,0.6666666666666666,-1.8703182964457674,0.06143963025896516,-1.168751805831873,0.8787481785936454,0.9983065448527629
