target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,full,m1_controls,m0_ar,64,1.9081985658048506,2.398341842621028,-0.24687296773384182,1.8736415699855318,2.3364839195147837,1.0184437602009362,1.0264747908554364,0.609375,-1.493217214017256,0.1353803375324759,-0.9366190021853519,0.8255227130428717,0.9434545291918534
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,full,m2_tech,m1_controls,64,1.957016944408283,2.426259568275916,-0.08605064543086113,1.9081985658048506,2.398341842621028,1.025583489830809,1.0116404280485631,0.5625,-1.0765030161251183,0.28170235272086397,-0.5623860497159366,0.713073489165845,0.8663615139356199
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,full,m2_tech,m0_ar,64,1.957016944408283,2.426259568275916,-0.08605064543086113,1.8736415699855318,2.3364839195147837,1.0444991057832875,1.0384233968020529,0.5625,-2.1618237348423617,0.030631765273694146,-1.5759992665388476,0.9424870138771706,0.9424870138771706
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,pandemic_2020_2022,m1_controls,m0_ar,23,2.1143206696116352,2.561555275993052,-0.24354029584354148,2.0705976345218167,2.533117803820761,1.021116142683084,1.0112262730653103,0.7391304347826086,-0.3084597912522917,0.757732491469298,0.15308813124124968,0.43916438772398725,0.43916438772398725
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,pandemic_2020_2022,m2_tech,m1_controls,23,2.0919982436691655,2.5141210977829767,-0.03359912077651391,2.1143206696116352,2.561555275993052,0.9894422703881668,0.9814822742048045,0.6956521739130435,1.0400327938153853,0.2983246651115994,1.2593436859588893,0.10395311020088906,0.3638358857031117
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,pandemic_2020_2022,m2_tech,m0_ar,23,2.0919982436691655,2.5141210977829767,-0.03359912077651391,2.0705976345218167,2.533117803820761,1.0103354745463577,0.9925006622237895,0.6956521739130435,0.2642752826612051,0.7915678049929107,0.6406833649860102,0.2608642121095417,0.607605731259552
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,post_2022,m1_controls,m0_ar,41,1.7925690929376303,2.301721440018195,-0.2487425153796202,1.7631540215871282,2.2185596360597652,1.0166832114440143,1.0374845925287488,0.5365853658536586,-2.3294463185726086,0.019835433709603067,-2.068002751441068,0.9806801178146128,0.9806801178146128
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,post_2022,m2_tech,m1_controls,41,1.881295727749739,2.375549019779175,-0.11547467145647053,1.7925690929376303,2.301721440018195,1.0494969120920774,1.0320749411624703,0.4878048780487805,-2.513889312244122,0.01194079041734338,-2.209936320904091,0.9864452089736663,0.9903584426716822
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,post_2022,m2_tech,m0_ar,41,1.881295727749739,2.375549019779175,-0.11547467145647053,1.7631540215871282,2.2185596360597652,1.0670058909863496,1.070761849791078,0.4878048780487805,-3.2395342812703682,0.0011972507349963689,-2.985383203602992,0.9985838836349242,0.9985838836349242
headline_12m_pct,jp_epi_electronics_gbp_12m_pct,1,expanding_ar1,ex_pandemic,m1_controls,m0_ar,41,1.7925690929376303,2.301721440018195,-0.2487425153796202,1.7631540215871282,2.2185596360597652,1.0166832114440143,1.0374845925287488,0.5365853658536586,-2.3294463185726086,0.019835433709603067,-2.068002751441068,0.9806801178146128,0.9806801178146128
