channel,outcome,impulse,horizon,n_baseline,response_pp_per_one_sd_baseline,response_pp_per_one_unit_baseline,standard_error_baseline,lower_90_baseline,upper_90_baseline,p_value_baseline,fdr_q_baseline,n_covid_dummy,response_pp_per_one_sd_covid_dummy,response_pp_per_one_unit_covid_dummy,standard_error_covid_dummy,lower_90_covid_dummy,upper_90_covid_dummy,p_value_covid_dummy,fdr_q_covid_dummy,delta_n,delta_response_pp_per_one_sd,delta_response_pp_per_one_unit,delta_standard_error,delta_lower_90,delta_upper_90,delta_p_value,delta_fdr_q
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,1,156,0.4727209440771172,0.4727209440771172,0.9457379513504304,-1.083017985894341,2.0284598740485755,0.6171852957891284,0.8651409137530436,156,0.48920837373371584,0.48920837373371584,1.0417502319260419,-1.224470757784623,2.202887505252055,0.638639133948137,0.8090337430826972,0,0.016487429656598662,0.016487429656598662,0.09601228057561151,-0.14145277189028205,0.17442763120347937,0.021453838159008587,-0.05610717067034643
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,2,155,1.128936474181662,1.128936474181662,1.580545039376956,-1.4710601155934306,3.728933063956755,0.4750600166340124,0.8651409137530436,155,1.4393578550669481,1.4393578550669481,1.660010055836347,-1.291358686783843,4.170074396917739,0.38589938737924123,0.7226666922557624,0,0.31042138088528604,0.31042138088528604,0.07946501645939108,0.17970142880958773,0.4411413329609841,-0.0891606292547712,-0.14247422149728117
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,3,154,1.743672626609987,1.743672626609987,2.33954780113147,-2.104883506251282,5.592228759471255,0.4560884047322164,0.8651409137530436,154,2.5820508881873887,2.5820508881873887,2.384687336828557,-1.3407597808955876,6.504861557270365,0.27891369326167703,0.7226666922557624,0,0.8383782615774018,0.8383782615774018,0.04513953569708695,0.7641237253556943,0.9126327977991098,-0.17717471147053937,-0.14247422149728117
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,4,153,1.6905842647610276,1.6905842647610276,3.173574843036626,-3.529946352034223,6.911114881556278,0.5942366966409431,0.8651409137530436,153,2.890273547522754,2.890273547522754,3.0285403303443688,-2.091675295893733,7.872222390939241,0.3399088318082861,0.7226666922557624,0,1.1996892827617263,1.1996892827617263,-0.14503451269225742,1.43827105614049,0.9611075093829626,-0.254327864832657,-0.14247422149728117
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,5,152,1.419776784359196,1.419776784359196,3.9748680036772694,-5.118881081689913,7.958434650408305,0.7209507614608697,0.8651409137530436,152,3.3257781590322217,3.3257781590322217,3.934285133759558,-3.146120886002252,9.797677204066694,0.39792535194158374,0.7226666922557624,0,1.9060013746730258,1.9060013746730258,-0.04058286991771132,1.9727601956876608,1.8392425536583898,-0.32302540951928593,-0.14247422149728117
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,6,151,0.8334572070037365,0.8334572070037365,4.980303200959444,-7.359141558574549,9.026055972582022,0.8670941168819815,0.9072091008694612,151,3.39610366768196,3.39610366768196,4.878962271183796,-4.629789268415385,11.421996603779304,0.48638442834742235,0.7295766425211335,0,2.5626464606782235,2.5626464606782235,-0.10134092977564801,2.7293522901591647,2.3959406311972824,-0.3807096885345591,-0.17763245834832764
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,7,150,-0.6467664378595246,-0.6467664378595246,5.548807359768859,-9.774554544679296,8.48102166896025,0.9072091008694612,0.9072091008694612,150,2.1202601397539302,2.1202601397539302,5.429324439307225,-6.810978562906455,11.051498842414315,0.6961520201591536,0.8090337430826972,0,2.767026577613455,2.767026577613455,-0.11948292046163456,2.9635759817728404,2.5704771734540657,-0.2110570807103076,-0.098175357786764
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,8,149,-2.528976943277322,-2.528976943277322,5.979562541931389,-12.365357324754456,7.307403438199812,0.672341385174352,0.8651409137530436,149,0.10216643712440779,0.10216643712440779,5.802046546574294,-9.442200131990306,9.646533006239123,0.9859510243934585,0.9859510243934585,0,2.63114338040173,2.63114338040173,-0.17751599535709506,2.9231571927641493,2.3391295680393105,0.31360963921910645,0.12081011064041491
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,9,148,-4.599642818198632,-4.599642818198632,6.152782796936076,-14.720970519158476,5.521684882761214,0.4547188809256092,0.8651409137530436,148,-1.884889551848803,-1.884889551848803,5.716699504893572,-11.288860237398728,7.519081133701123,0.7416142644924724,0.8090337430826972,0,2.714753266349829,2.714753266349829,-0.43608329204250484,3.4321102817597477,1.997396250939909,0.28689538356686317,-0.05610717067034643
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,10,148,-7.191843827277081,-7.191843827277081,6.327610884303706,-17.600763731956675,3.217076077402515,0.2557133860308713,0.8651409137530436,148,-4.642750960645869,-4.642750960645869,5.77653866608332,-14.14515706635293,4.8596551450611924,0.4215555704825281,0.7226666922557624,0,2.549092866631212,2.549092866631212,-0.5510722182203862,3.455606665603746,1.6425790676586773,0.16584218445165683,-0.14247422149728117
