date,historical_targeted_hardware_index,historical_targeted_hardware_1m_pct,historical_targeted_hardware_3m_annualised_pct,historical_targeted_hardware_12m_pct,historical_ex_games_index,historical_ex_games_1m_pct,historical_ex_games_3m_annualised_pct,historical_ex_games_12m_pct
1996-01-01,1632.1339375082734,,,,788.077933954766,,,
1996-02-01,1634.4899906884987,0.1443541566093609,,,788.9201038182555,0.10686377922843882,,
1996-03-01,1609.9236253724468,-1.5029988226299085,,,780.5441044683773,-1.0617043867103382,,
1996-04-01,1599.071509610632,-0.6740764338621585,-7.859967491731956,,777.7632838568638,-0.35626694194397235,-5.1334559726280755,
1996-05-01,1565.275702065869,-2.1134644286791238,-15.892579598492773,,763.4371671175575,-1.8419636201215783,-12.307772000498773,
1996-06-01,1541.4738382032642,-1.5206179864154734,-15.952744063231028,,755.1859662078483,-1.0807963333593684,-12.375439662850873,
1996-07-01,1519.1671432469761,-1.447101754402047,-18.53882069610321,,744.9556757219872,-1.3546716893101607,-15.834911634353599,
1996-08-01,1510.6611881875654,-0.559909098694078,-13.242923055834643,,743.4561808488421,-0.20128645529035039,-10.065089169349717,
1996-09-01,1495.3900311127272,-1.0108922632188544,-11.432723243464372,,736.5370276338083,-0.9306739782745321,-9.517894854192132,
1996-10-01,1505.330231992265,0.6647229600789339,-3.5938144457653975,,741.7045838282995,0.7016016847235074,-1.7342623266302537,
1996-11-01,1490.1981980418252,-1.0052301899506122,-5.309186053003212,,735.1062310111789,-0.889620067205632,-4.4173844674059275,
1996-12-01,1480.1107382120576,-0.6769206836394592,-4.024824874105304,,731.4755290716888,-0.4939016684018416,-2.7206035259424888,
1997-01-01,1438.5674821815828,-2.8067667477811975,-16.594666841345575,-11.85971634302282,712.4154135180942,-2.6057078871501993,-14.884358564806831,-9.600893157479861
1997-02-01,1430.9282910084337,-0.5310276554815752,-14.98504186069981,-12.454141710241885,710.2703285764029,-0.30110029920580317,-12.844605320266577,-9.969295352114793
1997-03-01,1402.3448274634961,-1.9975468878872804,-19.417185838763118,-12.893704684961593,698.5610949871117,-1.6485601493110513,-16.82010415782267,-10.503315445205196
1997-04-01,1387.9749436561222,-1.0247040190083379,-13.342621314980107,-13.201196111980696,694.134715842924,-0.6336423794499058,-9.875714837603677,-10.75244483118728
1997-05-01,1388.3637515880012,0.028012604525473606,-11.377992394421666,-11.302286890697744,694.123779901001,-0.001575478314730372,-8.787784951488863,-9.07912140016145
1997-06-01,1371.3674667845696,-1.2241953727177957,-8.547390563173185,-11.035307068005118,687.3934259829834,-0.9696186923573547,-6.242953408483687,-8.976933266554699
1997-07-01,1362.0083463858973,-0.6824662700083195,-7.275911816979164,-10.345062922120418,684.1418071637697,-0.4730360658546928,-5.63532238514739,-8.163421065190036
1997-08-01,1336.5500263428075,-1.8691750392458073,-14.112925470210103,-11.525493817290023,673.4352221536517,-1.564965756807657,-11.39961349237495,-9.418303391498329
1997-09-01,1324.3380298688724,-0.9136954272748632,-13.027884815925129,-11.43862120817899,667.8722393217831,-0.826060569579079,-10.884741619670269,-9.322652593939097
1997-10-01,1311.7485576807567,-0.9506237761187197,-13.963386915889942,-12.859747993987213,663.1587746591672,-0.7057434618636615,-11.71527680903729,-10.589904779031977
1997-11-01,1300.3846711593847,-0.8663159151067745,-10.392060609462062,-12.737468554978959,658.8532395695294,-0.6492464933229081,-8.383977299800428,-10.373057420117282
1997-12-01,1289.663899740781,-0.824430774706475,-10.068720787839114,-12.867066872397148,654.7221234112664,-0.6270161411002784,-7.646258033232012,-10.492956033379508
1998-01-01,1249.8929321466458,-3.08382421203921,-17.569322840421563,-13.115446607260495,638.5777939653977,-2.465829222594862,-14.022429838935025,-10.364405114154795
1998-02-01,1228.6595247263378,-1.6988181046707962,-20.303574858646158,-14.135492851255938,630.226459349946,-1.307802227758681,-16.279504979454828,-11.269493600681457
1998-03-01,1208.2842753315865,-1.6583316195175835,-22.95041189141761,-13.838290578139645,623.5093232892508,-1.0658289510128927,-17.748515969378996,-10.743766327159342
1998-04-01,1187.5550840149253,-1.715588933818779,-18.506343562482506,-14.439731823491176,615.4445624416909,-1.2934467130363392,-13.721913027461275,-11.336438245373682
1998-05-01,1172.0435740237049,-1.306171831522851,-17.19647496070379,-15.580943921711487,609.1083075894147,-1.029541121809241,-12.744751225211271,-12.247883558133033
1998-06-01,1153.19052883828,-1.6085617978093714,-17.028723231819487,-15.909443911327914,601.0993714752954,-1.3148624003857745,-13.619982421460563,-12.553808524468534
1998-07-01,1133.830338329542,-1.6788371066697394,-16.904550667968287,-16.75305505005369,593.9234632758889,-1.1937973220291997,-13.27063338476161,-13.187082406481899
1998-08-01,1108.5394479057509,-2.230570974229873,-19.97428247557306,-17.05963667225838,584.5632904477442,-1.5759897372158105,-15.170273977318127,-13.196804797600914
1998-09-01,1082.9742960820215,-2.3062013599991382,-22.219930232225447,-18.225236181637793,574.3182193072037,-1.7526025509903898,-16.665414484661277,-14.007771922004508
1998-10-01,1066.3219094315207,-1.5376529905414826,-21.772214374425957,-18.7098851233474,567.0975490593712,-1.2572594782980562,-16.879307917180565,-14.485403687701638
1998-11-01,1056.5843851822258,-0.9131880497969092,-17.469943322591273,-18.74832050733063,563.5729870674267,-0.6215089445882227,-13.607803033085764,-14.461529029493025
1998-12-01,1047.8215038389192,-0.8293593456612847,-12.36519349679418,-18.752358343167675,559.3149545533533,-0.7555423364469904,-10.047062505137383,-14.572162058739934
1999-01-01,1025.059818967296,-2.172286480877783,-14.602823903142603,-17.988189819843768,548.600132199427,-1.9157046073410955,-12.42249861933875,-14.09032111925369
1999-02-01,1006.1208835101405,-1.8475931947304014,-17.778782856524877,-18.11231156701153,540.9145290750581,-1.400948099220467,-15.137872912134531,-14.171402826693392
1999-03-01,1001.0407869120874,-0.5049191087585614,-16.697532869200195,-17.151881610196895,536.365049685418,-0.8410717673676849,-15.430033592873759,-13.976418691562365
1999-04-01,992.2859765336931,-0.8745707960012505,-12.188666032417238,-16.442951582596066,531.0100048755947,-0.998395554103304,-12.22169638807571,-13.719279155073494
1999-05-01,987.0167918870205,-0.5310147247146624,-7.381549481214678,-15.786681164205774,528.6439626920152,-0.44557393681007307,-8.769822524049243,-13.210186742624208
1999-06-01,967.6745397143467,-1.9596679946745854,-12.680715893794236,-16.087193268125553,520.6291135590566,-1.5161147574909495,-11.22883543220825,-13.387180512057151
1999-07-01,944.7087195098378,-2.3733000365276036,-17.84305523904838,-16.67988696601069,510.6577211659097,-1.9152583160364833,-14.471905539052965,-14.019608124372196
1999-08-01,926.489979009889,-1.928503476648502,-22.36371598513578,-16.422461937623346,502.6754443863789,-1.5631364118623425,-18.24815268084372,-14.008379828066786
1999-09-01,916.3960209039046,-1.0894837866213591,-19.570471864101513,-15.381553909521472,498.7911755481388,-0.7727190340442558,-15.751680807284584,-13.150730939751941
1999-10-01,915.3668690561268,-0.11230426849330177,-11.856749445750959,-14.156610591999497,495.2819565117159,-0.7035447314332477,-11.510770208327958,-12.663710620293422
1999-11-01,912.2875056352325,-0.33640756782792325,-5.992175480066697,-13.656919558025349,491.2008376533209,-0.8239990988443191,-8.822913009304855,-12.841664003574227
1999-12-01,909.8956508276393,-0.2621821292979054,-2.8073155132351757,-13.163105787193608,489.5713351869119,-0.3317385357471836,-7.191259189053989,-12.469471591750292
2000-01-01,891.11445362153,-2.0641045145150416,-10.184106713088115,-13.06707792728724,482.5531684882853,-1.4335330102501098,-9.890483390564908,-12.03918115118724
2000-02-01,884.8219365444356,-0.7061401654435362,-11.509506580046446,-12.056100708546946,481.55573187679033,-0.2066998367495243,-7.6259827031155965,-10.973784952637322
2000-03-01,869.8486183825426,-1.6922408389160815,-16.47656338291731,-13.105576740207914,473.64777360279874,-1.642168860325166,-12.389113538329955,-11.693020661842779
2000-04-01,866.651665635515,-0.3675297838573566,-10.536815581971293,-12.66109910542631,471.8475687237961,-0.38007248831962714,-8.583161024958896,-11.141491800264525
2000-05-01,862.845478091598,-0.43918308760485525,-9.570821569594356,-12.58046619024855,470.2321006950906,-0.3423707433896195,-9.079279940813445,-11.049376540587675
2000-06-01,837.6909216301568,-2.9153025773603014,-13.98770744128327,-13.432576010789788,460.6042048559188,-2.047477368078443,-10.56869000656655,-11.529303133434732
2000-07-01,821.7619387701263,-1.9015346172108982,-19.16381945028637,-13.01425277449566,454.08663919490635,-1.4150035089347868,-14.22751194622116,-11.078082172505477
2000-08-01,819.1028365703269,-0.3235854660997295,-18.78773747157649,-11.590750560985386,454.84588899769557,0.1672037310182395,-12.459705669600652,-9.514997385056144
2000-09-01,818.0397390282122,-0.12978804304547564,-9.0584461148853,-10.732945105837189,450.142114607519,-1.034146840491823,-8.780645691795941,-9.753392466728727
2000-10-01,812.9112914065238,-0.6269191308212907,-4.239030440640201,-11.19284312258857,447.93411800031885,-0.4905110043136651,-5.310531967544064,-9.559774566565915
2000-11-01,806.8968952616073,-0.7398588515741045,-5.82872335548863,-11.552346132400547,445.3978674712177,-0.5662106160663871,-8.053450056418221,-9.324693011706541
2000-12-01,794.3412183757109,-1.5560447635413976,-11.094057823883752,-12.69974555289063,440.74584754922387,-1.0444638966068842,-8.091785274363216,-9.973109969571048
2001-01-01,775.058286327583,-2.427537637736854,-17.364847834014174,-13.023710570767799,429.59515739964684,-2.5299592070080035,-15.397940113135311,-10.974544267223907
2001-02-01,772.1017305147268,-0.3814623835408648,-16.164892469770507,-12.739309614081662,433.2182333189906,0.8433698231782527,-10.497663180849681,-10.03777867400969
2001-03-01,768.1524338935528,-0.5114995168500891,-12.549710988455576,-11.69125090732348,432.8933131973776,-0.07500148807766394,-6.938383426749728,-8.604381288530627
2001-04-01,758.3909950533595,-1.270768458119087,-8.32831469650952,-12.49183205605081,428.7049757260574,-0.9675218682369757,-0.8262836355072523,-9.143332689924899
2001-05-01,765.4887259495819,0.9358933508596179,-3.3822116495569765,-11.28321983645848,432.1574359905285,0.8053231149519391,-0.9758660469774694,-8.096993941562191
2001-06-01,756.1678350510433,-1.2176392130368807,-6.096202444014476,-9.731881350757455,429.3292917699924,-0.6544245187066755,-3.252763104517664,-6.789975592105046
2001-07-01,758.008866266176,0.24346859649331254,-0.20139483358955212,-7.758095075486837,429.39565372488136,0.015457122577267057,0.6459910079797959,-5.437505387474517
2001-08-01,754.6111659053945,-0.4482401871521713,-5.5639718032779895,-7.873452243794688,427.012349709453,-0.5550368278658291,-4.677860511359877,-6.119334034122392
2001-09-01,748.2167055192244,-0.8473848089032621,-4.140137361612095,-8.53540851107476,423.5899687534198,-0.8014711889157033,-5.24097420071048,-5.898614013765435
2001-10-01,736.0294024243101,-1.628846697088504,-11.103735410965164,-9.457598854260018,419.26846146049223,-1.0202100171647799,-9.105375022493224,-6.399525150662044
2001-11-01,727.6818309754241,-1.1341355958594979,-13.528455280553764,-9.817247377126236,414.72087718674925,-1.0846473540847335,-11.026258932861277,-6.887547634352076
2001-12-01,724.8532257357174,-0.3887145616807697,-11.917283142792245,-8.74787698693067,414.6787741630048,-0.010152135101093585,-8.153088524508266,-5.914309466819834
2002-01-01,711.9162986059514,-1.784765062835325,-12.474401581268236,-8.146740552999422,406.2883218150424,-2.0233619058264596,-11.820307886581904,-5.425302213758975
2002-02-01,705.1236104527261,-0.954141402089892,-11.835265940675688,-8.674779166386436,406.38713581697806,0.024321152400874624,-7.79887634279145,-6.193436803537322
2002-03-01,704.9740326895103,-0.021212984645313515,-10.526963308697201,-8.224721867222195,408.83910939926943,0.6033590549961776,-5.515077737349028,-5.556612464267996
2002-04-01,700.7550582375801,-0.5984581355194862,-6.125157352843447,-7.599765449710305,402.2258138460494,-1.6175789940784613,-3.940040531028921,-6.1765464315320155
2002-05-01,694.8623605121506,-0.840906912645023,-5.695129772674823,-9.226310335246268,400.3562920431671,-0.4647940879293766,-5.805222271935762,-7.358694146838274
2002-06-01,688.9886947363427,-0.8452991714040681,-8.76617099756456,-8.884157352470012,398.7113342653664,-0.4108734670824954,-9.546663246602527,-7.13157897482316
2002-07-01,670.4127004557407,-2.6961246857193366,-16.227019511141847,-11.556087231791789,393.1114429568441,-1.4044976471110915,-8.76048109505776,-8.450064748742193
2002-08-01,667.9252140403258,-0.37103808053217113,-14.627852931846563,-11.487499228965358,392.55704529027963,-0.14102811721644626,-7.567548573172367,-8.068924573871783
