target,candidate,horizon,window,model,origin,target_date,prediction,train_n
headline_12m_pct,jp_ppi_information_communications_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.13056569227023007,124
headline_12m_pct,jp_ppi_information_communications_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,0.34421680907753066,124
headline_12m_pct,jp_ppi_information_communications_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,0.0735052980791906,124
headline_12m_pct,jp_ppi_information_communications_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,-0.0032910295512749155,123
headline_12m_pct,jp_ppi_information_communications_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,0.2496741654367386,123
headline_12m_pct,jp_ppi_information_communications_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,0.8965646192494537,123
headline_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.35416119171678057,84
headline_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,-0.36272399620936113,84
headline_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.33577606644058244,84
headline_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.2693006216551874,83
headline_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-1.2801372895844472,83
headline_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,1.0047937300918834,83
headline_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,0.037517293718089595,82
headline_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,-2.425880851955072,82
headline_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,0.6558913447090013,82
headline_12m_pct,kr_epi_tech_gbp_12m_pct,1,expanding_ar1,m0_ar,2026-06-01,2026-07-01,0.35416119171678057,84
headline_12m_pct,kr_epi_tech_gbp_12m_pct,1,expanding_ar1,m1_controls,2026-06-01,2026-07-01,-0.36272399620936113,84
headline_12m_pct,kr_epi_tech_gbp_12m_pct,1,expanding_ar1,m2_tech,2026-06-01,2026-07-01,0.30512118689268886,84
headline_12m_pct,kr_epi_tech_gbp_12m_pct,2,expanding_ar1,m0_ar,2026-06-01,2026-08-01,0.2693006216551874,83
headline_12m_pct,kr_epi_tech_gbp_12m_pct,2,expanding_ar1,m1_controls,2026-06-01,2026-08-01,-1.2801372895844472,83
headline_12m_pct,kr_epi_tech_gbp_12m_pct,2,expanding_ar1,m2_tech,2026-06-01,2026-08-01,0.8455782972623433,83
headline_12m_pct,kr_epi_tech_gbp_12m_pct,3,expanding_ar1,m0_ar,2026-06-01,2026-09-01,0.037517293718089595,82
headline_12m_pct,kr_epi_tech_gbp_12m_pct,3,expanding_ar1,m1_controls,2026-06-01,2026-09-01,-2.425880851955072,82
headline_12m_pct,kr_epi_tech_gbp_12m_pct,3,expanding_ar1,m2_tech,2026-06-01,2026-09-01,0.45110296246149706,82
