target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,rmse_ratio_lower_90,rmse_ratio_upper_90,rmse_ratio_bootstrap_block,rmse_ratio_bootstrap_draws,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m0_ridge_controls,m0_controls,112,1.554505909407853,2.181181336493541,-0.028910602720781924,1.4972286968551007,2.14407745408177,1.038255486735635,1.0173052901335886,0.9963314121815252,1.0412761967056632,12,2000,0.49107142857142855,-1.1500591644233638,0.2501195039021139,0.1871179868997747,0.42578406286184034,0.42578406286184034
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m4_asia_ols,m0_controls,112,1.8412612224738123,2.3543638064684984,-0.34714749744914514,1.4972286968551007,2.14407745408177,1.22977954292577,1.098077777920941,1.0091662820790896,1.2282603632823388,12,2000,0.5089285714285714,-1.1357644577294244,0.2560551557799915,2.6424498467236806,0.004115432719464559,0.004115432719464559
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m1_oecd_weighted,m0_controls,112,1.6140882334355358,2.1950803423572456,-0.08603875561495385,1.4972286968551007,2.14407745408177,1.0780505588931713,1.0237878012188315,0.9645196115565036,1.0961123599639206,12,2000,0.5,-0.7218860516301921,0.47036453760782704,1.5079351367033575,0.06578556437800064,0.06578556437800064
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m2_asia_factor,m0_controls,112,1.6140730079787253,2.184330673089267,-0.15339786513708456,1.4972286968551007,2.14407745408177,1.0780403898008726,1.0187741440640892,0.9443358079061751,1.1035923892505313,12,2000,0.48214285714285715,-0.504033236178258,0.6142380215121794,1.6112507179933022,0.05356254371568125,0.05356254371568125
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m3_asia_ridge,m0_controls,112,1.625727318150005,2.153731443255131,-0.2955699435797401,1.4972286968551007,2.14407745408177,1.085824310985231,1.0045026307958147,0.9486326716650046,1.0690969184773322,12,2000,0.49107142857142855,-0.06101748649785589,0.951345282791857,2.3030683402362104,0.010637499141999438,0.010637499141999438
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m3_asia_ridge,m0_ridge_controls,112,1.625727318150005,2.153731443255131,-0.2955699435797401,1.554505909407853,2.181181336493541,1.0458161067842333,0.9874151255656082,0.9213275189600304,1.0606631703954688,12,2000,0.49107142857142855,0.1850347393150272,0.8532017879859641,2.3975391830444464,0.008252807764754833,0.008252807764754833
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,full,m2_asia_factor,m1_oecd_weighted,112,1.6140730079787253,2.184330673089267,-0.15339786513708456,1.6140882334355358,2.1950803423572456,0.9999905671471392,0.9951028356181102,0.9664312236178643,1.0256772054156742,12,2000,0.48214285714285715,0.2864757375805987,0.774513773726943,1.0253530353604714,0.15259831984406252,0.15259831984406252
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m0_ridge_controls,m0_controls,42,1.6791809307350551,2.3275942026625325,-0.09344996068948917,1.5877192289162,2.2614141079369565,1.0576057152632006,1.029264916360653,0.985151685887357,1.090305061949745,12,2000,0.5,-0.9993414964840744,0.31762928993361084,-0.04097541540369656,0.5163422524684134,0.5163422524684134
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m4_asia_ols,m0_controls,42,2.104804667299101,2.5600601760606856,-1.003071994888379,1.5877192289162,2.2614141079369565,1.3256781356335092,1.13206164544369,0.9855089849826845,1.4635900933565178,12,2000,0.5714285714285714,-0.6846318915662941,0.49357623726128474,2.6375146029820415,0.004175801481859872,0.004175801481859872
uk_ipi_c26_12m_pct,asia_to_import,1,expanding_ar2_min36,pre_2020,m1_oecd_weighted,m0_controls,42,1.8007842854657579,2.271103417017078,0.09817300598797421,1.5877192289162,2.2614141079369565,1.1341956768357584,1.0042846239643215,0.9130935876180409,1.216158258193871,12,2000,0.42857142857142855,-0.05890597669747906,0.9530269976041486,1.993457291059863,0.023105697889900387,0.023105697889900387
