origin,scenario,scenario_label,date,horizon,asian_pressure_pp,factor_z,implied_innovation_z,tech_aggregate_impact_pp,approx_standard_error,headline_cpi_contribution_pp,basket_weight_per_1000
2026-07-01,low,Low: pressure normalises,2026-07-01,0,2.93099763582492,0.9521460922685108,-0.5211526766212109,11.245703207257453,2.077494867313385,0.1438842742555762,12.7946
2026-07-01,low,Low: pressure normalises,2026-08-01,1,2.68674783283951,0.8942285960446485,0.11808018082604116,13.685136477563429,2.433434578547089,0.17509584717583307,12.7946
2026-07-01,low,Low: pressure normalises,2026-09-01,2,2.4424980298541,0.8363110998207864,0.08868324783727026,15.944850790881542,2.722694285226032,0.20400798792901298,12.7946
2026-07-01,low,Low: pressure normalises,2026-10-01,3,2.19824822686869,0.7783936035969243,0.07458076615733267,18.188783787234797,2.8998294274163547,0.23271821304415433,12.7946
2026-07-01,low,Low: pressure normalises,2026-11-01,4,1.95399842388328,0.7204761073730621,0.06047828447739437,19.65349648938386,2.9692662325385695,0.25145862618307074,12.7946
2026-07-01,low,Low: pressure normalises,2026-12-01,5,1.7097486208978698,0.6625586111491999,0.046375802797456775,21.004759848422665,2.950625005742752,0.2687475003566287,12.7946
2026-07-01,low,Low: pressure normalises,2027-01-01,6,1.46549881791246,0.6046411149253378,0.03227332111751918,22.462332404193,2.8452724815799844,0.28739655817868776,12.7946
2026-07-01,low,Low: pressure normalises,2027-02-01,7,1.22124901492705,0.5467236187014757,0.01817083943758124,22.11446293434953,2.750816069270088,0.2829457074598285,12.7946
2026-07-01,low,Low: pressure normalises,2027-03-01,8,0.97699921194164,0.48880612247761346,0.004068357757642943,16.559841404812737,2.3912042185511115,0.21187654683801704,12.7946
2026-07-01,low,Low: pressure normalises,2027-04-01,9,0.7327494089562299,0.43088862625375124,-0.01003412392229465,10.345224202381996,1.7260094917611832,0.1323630055797967,12.7946
2026-07-01,low,Low: pressure normalises,2027-05-01,10,0.48849960597081976,0.372971130029889,-0.024136605602232946,9.18941117418146,1.6217772715396932,0.11757484020918212,12.7946
2026-07-01,low,Low: pressure normalises,2027-06-01,11,0.2442498029854101,0.3150536338060269,-0.038239087282170535,4.565177143357283,1.3147786330106914,0.058409615478399096,12.7946
2026-07-01,low,Low: pressure normalises,2027-07-01,12,0.0,0.2571361375821648,-0.05234156896210848,-0.38423904554528265,0.5568347258317733,-0.004916184892133674,12.7946
2026-07-01,central,"Central: further rise, then easing",2026-07-01,0,2.93099763582492,0.9521460922685108,-0.5211526766212109,11.245703207257453,2.077494867313385,0.1438842742555762,12.7946
2026-07-01,central,"Central: further rise, then easing",2026-08-01,1,3.24339922506323,1.026224014313423,0.5367205901018366,13.977133774968394,2.436301691166322,0.17883183579721063,12.7946
2026-07-01,central,"Central: further rise, then easing",2026-09-01,2,3.5558008143015405,1.1003019363583353,0.39104202594360293,16.62695119363911,2.7305903036480776,0.21273518974213496,12.7946
2026-07-01,central,"Central: further rise, then easing",2026-10-01,3,3.8682024035398506,1.1743798584032474,0.40907945170676624,19.50212417908738,2.921765298368432,0.24952187802175144,12.7946
2026-07-01,central,"Central: further rise, then easing",2026-11-01,4,4.180603992778161,1.2484577804481596,0.42711687746992955,21.814642445612325,3.013812906029272,0.2791096242346315,12.7946
2026-07-01,central,"Central: further rise, then easing",2026-12-01,5,4.493005582016471,1.322535702493072,0.4451543032330943,24.207705188647374,3.025877894691605,0.30972790480666773,12.7946
2026-07-01,central,"Central: further rise, then easing",2027-01-01,6,4.2698615897033925,1.2696229010324203,0.06042435146240207,26.680238613438018,2.962066217325823,0.34136298096349404,12.7946
2026-07-01,central,"Central: further rise, then easing",2027-02-01,7,4.046717597390313,1.2167100995717686,0.19033451240300098,27.403872353250716,2.9160778740818185,0.35062158521090164,12.7946
2026-07-01,central,"Central: further rise, then easing",2027-03-01,8,3.8235736050772346,1.163797298111117,0.1774506368578844,23.041367052433344,2.6257787672223665,0.2948050748890637,12.7946
2026-07-01,central,"Central: further rise, then easing",2027-04-01,9,3.600429612764156,1.1108844966504656,0.16456676131276712,17.947633146012524,2.0791242382584176,0.22963278704997186,12.7946
2026-07-01,central,"Central: further rise, then easing",2027-05-01,10,3.3772856204510773,1.057971695189814,0.15168288576764916,17.891848222329227,2.0198538592745345,0.22891904126541354,12.7946
2026-07-01,central,"Central: further rise, then easing",2027-06-01,11,3.1541416281379986,1.0050588937291622,0.1387990102225326,14.348913427875903,1.7819793939477238,0.18358860774430105,12.7946
2026-07-01,central,"Central: further rise, then easing",2027-07-01,12,2.93099763582492,0.9521460922685108,0.1259151346774157,10.475750427503549,1.3065069810036865,0.1340330364197369,12.7946
2026-07-01,high,High: historical upper tail persists,2026-07-01,0,2.93099763582492,0.9521460922685108,-0.5211526766212109,11.245703207257453,2.077494867313385,0.1438842742555762,12.7946
2026-07-01,high,High: historical upper tail persists,2026-08-01,1,3.6748109435351823,1.1285220971373495,0.8611720886707764,14.20343529441562,2.441038005049421,0.1817272732179301,12.7946
2026-07-01,high,High: historical upper tail persists,2026-09-01,2,4.418624251245444,1.304898102006188,0.6253738211751632,17.155587447917593,2.7435877695662056,0.21949887916112648,12.7946
2026-07-01,high,High: historical upper tail persists,2026-10-01,3,5.162437558955707,1.4812741068750266,0.6683200729922205,20.519979237572592,2.9577618516903184,0.2625449263530463,12.7946
2026-07-01,high,High: historical upper tail persists,2026-11-01,4,5.906250866665969,1.6576501117438651,0.7112663248092778,23.489557309510698,3.086470897900753,0.3005394899522656,12.7946
2026-07-01,high,High: historical upper tail persists,2026-12-01,5,6.650064174376231,1.8340261166127036,0.7542125766263338,26.690027469164956,3.1478694562661236,0.341488225456978,12.7946
2026-07-01,high,High: historical upper tail persists,2027-01-01,6,7.393877482086493,2.010402121481542,0.7971588284433918,30.447815299080318,3.15440058888439,0.3895676176256131,12.7946
2026-07-01,high,High: historical upper tail persists,2027-02-01,7,7.393877482086493,2.010402121481542,0.28070594479676053,32.277885849820194,3.1903147198523025,0.4129826382941095,12.7946
2026-07-01,high,High: historical upper tail persists,2027-03-01,8,7.393877482086493,2.010402121481542,0.4790309954713655,29.395994443599346,3.0242998481286385,0.37610999050807625,12.7946
2026-07-01,high,High: historical upper tail persists,2027-04-01,9,7.393877482086493,2.010402121481542,0.4790309954713655,25.77528565804459,2.6605999781124443,0.3297844698804174,12.7946
2026-07-01,high,High: historical upper tail persists,2027-05-01,10,7.393877482086493,2.010402121481542,0.4790309954713655,27.218267281796273,2.69457267745253,0.3482468425636706,12.7946
2026-07-01,high,High: historical upper tail persists,2027-06-01,11,7.393877482086493,2.010402121481542,0.4790309954713655,25.33427209577682,2.5790547360184397,0.3241418777566261,12.7946
2026-07-01,high,High: historical upper tail persists,2027-07-01,12,7.393877482086493,2.010402121481542,0.4790309954713655,23.0343612304636,2.3254098465182818,0.2947154381992896,12.7946
