channel,outcome,impulse,horizon,n,impulse_standard_deviation,response_pp_per_one_sd,response_pp_per_one_unit,standard_error,lower_90,upper_90,p_value,r_squared,fdr_q
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,1,156,1.0,0.48920837373371584,0.48920837373371584,1.0417502319260419,-1.224470757784623,2.202887505252055,0.638639133948137,0.8592204409440324,0.8090337430826972
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,2,155,1.0,1.4393578550669481,1.4393578550669481,1.660010055836347,-1.291358686783843,4.170074396917739,0.38589938737924123,0.7271521931829732,0.7226666922557624
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,3,154,1.0,2.5820508881873887,2.5820508881873887,2.384687336828557,-1.3407597808955876,6.504861557270365,0.27891369326167703,0.6132694489455933,0.7226666922557624
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,4,153,1.0,2.890273547522754,2.890273547522754,3.0285403303443688,-2.091675295893733,7.872222390939241,0.3399088318082861,0.500870740121262,0.7226666922557624
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,5,152,1.0,3.3257781590322217,3.3257781590322217,3.934285133759558,-3.146120886002252,9.797677204066694,0.39792535194158374,0.41451130704480554,0.7226666922557624
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,6,151,1.0,3.39610366768196,3.39610366768196,4.878962271183796,-4.629789268415385,11.421996603779304,0.48638442834742235,0.32967534649911023,0.7295766425211335
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,7,150,1.0,2.1202601397539302,2.1202601397539302,5.429324439307225,-6.810978562906455,11.051498842414315,0.6961520201591536,0.256272016767629,0.8090337430826972
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,8,149,1.0,0.10216643712440779,0.10216643712440779,5.802046546574294,-9.442200131990306,9.646533006239123,0.9859510243934585,0.20393883525084977,0.9859510243934585
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,9,148,1.0,-1.884889551848803,-1.884889551848803,5.716699504893572,-11.288860237398728,7.519081133701123,0.7416142644924724,0.18718211986845257,0.8090337430826972
asia_to_import,uk_ipi_c26_12m_pct,asia_bls_common_factor_z,10,148,1.0,-4.642750960645869,-4.642750960645869,5.77653866608332,-14.14515706635293,4.8596551450611924,0.4215555704825281,0.1918588804484176,0.7226666922557624
