target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts_baseline,rmse_baseline,benchmark_rmse_baseline,rmse_ratio_baseline,clark_west_one_sided_p_baseline,clark_west_fdr_q_baseline,n_forecasts_covid_dummy,rmse_covid_dummy,benchmark_rmse_covid_dummy,rmse_ratio_covid_dummy,clark_west_one_sided_p_covid_dummy,clark_west_fdr_q_covid_dummy,delta_n_forecasts,delta_rmse,delta_benchmark_rmse,delta_rmse_ratio,delta_clark_west_one_sided_p,delta_clark_west_fdr_q
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,full,a1_ardl_ols,a0_controls_ols,112,2.5848619435803153,2.1586640441729417,1.1974359560756314,0.002077475712657,0.002077475712657,112,2.628410737958073,2.1894589545160166,1.2004841344646662,0.002070894409994965,0.002070894409994965,0,0.043548794377757716,0.03079491034307491,0.003048178389034817,-6.5813026620350525e-06,-6.5813026620350525e-06
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ridge,112,2.5359766698967943,2.1637722508908195,1.1720164489828997,0.0580784480632092,0.0580784480632092,112,2.566635168130818,2.210293215853774,1.1612193123161711,0.07041674712879417,0.07041674712879417,0,0.030658498234023668,0.04652096496295455,-0.010797136666728546,0.012338299065584972,0.012338299065584972
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ols,112,2.5359766698967943,2.1586640441729417,1.1747898783705428,0.0219277079045983,0.0219277079045983,112,2.566635168130818,2.1894589545160166,1.1722691411212944,0.025166159287931467,0.025166159287931467,0,0.030658498234023668,0.03079491034307491,-0.002520737249248395,0.003238451383333167,0.003238451383333167
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ols,a0_controls_ols,42,3.016471215268026,2.288736578265628,1.317963475531931,0.0022425133620484,0.0022425133620484,42,3.016471215268022,2.288736578265627,1.3179634755319296,0.0022425133620484474,0.0022425133620484474,0,-3.9968028886505635e-15,-8.881784197001252e-16,-1.3322676295501878e-15,4.7271214720367993e-17,4.7271214720367993e-17
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ridge,a0_controls_ridge,42,2.9974122116168105,2.3021884311834913,1.301983873698785,0.0381741907401188,0.0381741907401188,42,2.997412211616808,2.3021884311834913,1.3019838736987837,0.038174190740118755,0.038174190740118755,0,-2.6645352591003757e-15,0.0,-1.3322676295501878e-15,-4.85722573273506e-17,-4.85722573273506e-17
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ridge,a0_controls_ols,42,2.9974122116168105,2.288736578265628,1.3096361722362155,0.0124984405158496,0.0124984405158496,42,2.997412211616808,2.288736578265627,1.3096361722362149,0.012498440515849649,0.012498440515849649,0,-2.6645352591003757e-15,-8.881784197001252e-16,-6.661338147750939e-16,4.85722573273506e-17,4.85722573273506e-17
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ols,a0_controls_ols,36,2.6195142624389387,2.3517102426928234,1.113876282411164,0.2239757175433081,0.2239757175433081,36,2.708164605299475,2.4376400311356985,1.1109780651402164,0.1933008322690419,0.1933008322690419,0,0.0886503428605363,0.08592978844287513,-0.002898217270947745,-0.030674885274266206,-0.030674885274266206
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ridge,36,2.589735727127438,2.3604665014385433,1.0971287775315477,0.7700786647803015,0.7700786647803015,36,2.640332722023073,2.4902541041526205,1.0602663871209725,0.7167705569135011,0.7167705569135011,0,0.05059699489563485,0.1297876027140772,-0.03686239041057515,-0.0533081078668004,-0.0533081078668004
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ols,36,2.589735727127438,2.3517102426928234,1.1012137805557474,0.8013256673963853,0.8013256673963853,36,2.640332722023073,2.4376400311356985,1.0831511988227973,0.697628480342816,0.697628480342816,0,0.05059699489563485,0.08592978844287513,-0.018062581732950056,-0.10369718705356934,-0.10369718705356934
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,post_2022,a1_ardl_ols,a0_controls_ols,34,1.8719315448956009,1.738764752799396,1.0765870091867271,0.3083209622389752,0.3083209622389752,34,1.9369858094571175,1.7402956231790392,1.1130211348338506,0.3997983720478401,0.3997983720478401,0,0.06505426456151664,0.0015308703796432788,0.03643412564712345,0.09147740980886487,0.09147740980886487
