origin,scenario,scenario_label,target,target_label,target_group,horizon,baseline_forecast,scenario_forecast,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90,model,model_n
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,8,1.280681608719365,2.321044376950894,1.040362768231529,1.1856760738711516,-0.9311359904747795,2.9362794847550258,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,9,1.4203326262442744,2.480983994381752,1.0606513681374778,1.5409959268075122,-1.5006387847482343,3.5584725576939635,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,10,1.5702755481245139,2.623805587737537,1.053530039613023,1.9090981902851105,-2.1084391559089557,4.18160389839865,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,11,1.7262509807795356,2.751341264583507,1.0250902838039715,2.2834210486299207,-2.816660023860799,4.711596463981508,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,12,1.8848033168577243,2.8652270466526772,0.980423729794953,2.6587853543249067,-3.553774064273477,5.192091178249416,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,0,0.6369426751592355,0.6369426751592355,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,1,0.8739253188983982,-0.04218313263239182,-0.91610845153079,0.21155701366713534,-1.2542602083494643,-0.5655634901101038,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,2,0.9203571528076857,-0.14713807535094547,-1.0674952281586312,0.5120984967064338,-1.9283880208553632,-0.2270776147565156,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,3,0.9205576552663164,-0.18654443448472868,-1.107102089751045,0.8556469036334594,-2.4996328016573086,0.30552515855997636,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,4,0.933769790458288,-0.20644484307121602,-1.140214633529504,1.221748886081886,-3.101746860758037,0.8852220842442656,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,5,0.9776673845622872,-0.2123331047391308,-1.190000489301418,1.6142588409280425,-3.7892612675630724,1.4845075853059575,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,6,1.053415882511831,-0.20600618396852222,-1.259422066480353,2.039361629159007,-4.598975779462058,2.0951542851277623,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,7,1.1564296597101258,-0.17485536633120125,-1.3312850260413271,2.5001812468733813,-5.380505403804096,2.839134607036954,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,8,1.280681608719365,-0.1382776465409532,-1.4189592552603183,3.0014306606666548,-6.21085795016393,3.6446679755486393,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,9,1.4203326262442744,-0.09454642522023193,-1.5148790514645063,3.547439919262988,-7.096932689828117,4.531775698869654,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,10,1.5702755481245139,-0.04422594495055998,-1.6145014930750738,4.141208991398476,-8.105638258936388,5.510019745416861,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,11,1.7262509807795356,0.011996134565511962,-1.7142548462140237,4.7846514258513055,-9.207678783715018,6.5846664963455535,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c26_12m_pct,UK C26 imports,import,12,1.8848033168577243,0.07348971061363496,-1.8113136062440893,5.478799607153068,-10.326636728419263,7.760800803686739,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,0,1.6260162601626105,1.6260162601626105,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,1,1.9458066458473393,2.1488156730369647,0.20300902718962544,0.04733359832530164,0.1266875982382085,0.2816310958375299,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,2,1.9677764526253303,2.659204744465491,0.6914282918401606,0.2063009600236614,0.36909587838052355,1.0285580670180219,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,3,1.9310955291408245,3.0528615063109195,1.121765977170095,0.46376990811386515,0.422857758034591,1.96346071432967,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,4,1.919679979336526,3.347199402309287,1.427519422972761,0.7987143811621894,0.2600860254693755,2.9034540978201124,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,5,1.9563452857904586,3.5543711321834035,1.5980258463929449,1.1955137773952422,-0.10847113299482232,3.8214192718825495,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,uk_ipi_c261_12m_pct,UK C261 components,import,6,2.040918251713931,3.6851208954402797,1.6442026437263486,1.640705371752693,-0.609180591664977,4.664813933427619,statsmodels_ardl_ar2_factor_lags_0_2,155
