date,oecd_chn_targeted_contribution_pct,oecd_hkg_targeted_contribution_pct,oecd_jpn_targeted_contribution_pct,oecd_kor_targeted_contribution_pct,oecd_twn_targeted_contribution_pct,oecd_asia_c26_targeted_gbp_contribution_pct,oecd_asia_c26_targeted_gbp_12m_pct,oecd_chn_bls_contribution_pct,oecd_jpn_bls_contribution_pct,oecd_nie_bls_contribution_pct,oecd_asia_c26_bls_gbp_contribution_pct,oecd_asia_c26_bls_gbp_12m_pct,ex_games_cpi_weight_per_1000,oecd_asia_ex_games_targeted_mechanical_pp,oecd_asia_ex_games_bls_mechanical_pp
2009-05-01,,0.05107032887219822,0.7388686054789636,,1.0449425896437747,,,,,,,,4.0,,
2009-06-01,,0.03627366955385652,0.5609529906087574,,0.7431436419356672,,,,,,,,4.0,,
2009-07-01,,0.03627366955385652,0.6310714569926024,,0.849470686000709,,,,,,,,4.0,,
2009-08-01,,0.03627366955385652,0.4524273125142062,,0.6852681923336542,,,,,,,,4.0,,
2009-09-01,,0.011704791873103911,0.3778427368378593,,0.6585955108001844,,,,,,,,4.0,,
2009-10-01,,0.011704791873103911,0.15829047700527532,,0.3077798475888944,,,,,,,,4.0,,
2009-11-01,,0.011704791873103911,-0.2278717368028087,,-0.3316625266078959,,,,,,,,4.0,,
2009-12-01,,0.0038226972304662653,-0.37184383610117666,,-0.35413724609172886,,,,,,,,4.0,,
2010-01-01,,0.0038226972304662653,-0.4059503527194936,,-0.4604679771708063,,,,,,,,3.0,,
2010-02-01,,0.0038226972304662653,-0.2563680102360845,,-0.31236547966774697,,,,,,,,3.0,,
2010-03-01,,-0.00908910465160471,-0.17597579062499535,,-0.14384029401571,,,,,,,,3.0,,
2010-04-01,,-0.00908910465160471,-0.14188339964148808,,-0.1266389487061422,,,,,,,,3.0,,
2010-05-01,,-0.00908910465160471,0.12122451051849505,,0.3576512863797895,,,,,,,,3.0,,
2010-06-01,,0.0017744412159211363,0.2846314823128824,,0.5810608713101632,,,,,,,,3.0,,
2010-07-01,,0.0017744412159211363,0.18029846568366645,,0.4331852844099809,,,,,,,,3.0,,
2010-08-01,,0.0017744412159211363,0.1700116193518338,,0.2544159111475697,,,,,,,,3.0,,
2010-09-01,,0.02123767763805658,0.08407570536261848,,0.04613851012769717,,,,,,,,3.0,,
2010-10-01,,0.02123767763805658,0.03262408768038598,,-0.1875799432621951,,,,,,,,3.0,,
2010-11-01,,0.02123767763805658,0.0318633328586805,,-0.06139934383077039,,,,,,,,3.0,,
2010-12-01,,0.019996411770951794,0.05346732605912975,,-0.10346780349563808,,,,,,,,3.0,,
2011-01-01,,0.019996411770951794,-0.043701547538197376,,-0.2022467265700491,,,,,,,,5.0,,
2011-02-01,,0.019996411770951794,-0.1615391411327373,,-0.4453933324417683,,,,,,,,5.0,,
2011-03-01,,0.016787903970676553,-0.2513023585047093,,-0.6878066457504819,,,,,,,,5.0,,
2011-04-01,,0.016787903970676553,-0.20329877070830346,,-0.609448300223619,,,,,,,,5.0,,
2011-05-01,,0.016787903970676553,-0.31487190293382117,,-0.799695660796847,,,,,,,,5.0,,
2011-06-01,,0.004259443551747515,-0.27420523130914315,,-0.6969633452587743,,,,,,,,5.0,,
2011-07-01,,0.004259443551747515,-0.17313861387808638,,-0.46866254407352553,,,,,,,,5.0,,
2011-08-01,,0.004259443551747515,-0.13247486703885342,,-0.4481550331484218,,,,,,,,5.0,,
2011-09-01,,0.0042099627717072045,-0.05380050460430153,,-0.2907406381257755,,,,,,,,5.0,,
2011-10-01,,0.0042099627717072045,-0.06011104781423074,,-0.12441829316027,,,,,,,,5.0,,
2011-11-01,,0.0042099627717072045,-0.05430712695505944,,-0.10800742995813188,,,,,,,,5.0,,
2011-12-01,,0.01331888666808684,-0.10570895000087117,,-0.09593646546734982,,,,,,,,5.0,,
2012-01-01,,0.01331888666808684,-0.01494576218801503,,0.05311237501579935,,,,,,,,4.0,,
2012-02-01,,0.01331888666808684,-0.09767266242465555,,0.012009467985241986,,,,,,,,4.0,,
2012-03-01,,0.00881245759792731,-0.1326218213717777,,0.05050231427643664,,,,,,,,4.0,,
2012-04-01,,0.00881245759792731,-0.09282859816089857,,0.10804474974445678,,,,,,,,4.0,,
2012-05-01,,0.00881245759792731,-0.10407723423162893,,0.11806193467241244,,,,,,,,4.0,,
2012-06-01,,0.0063514742340927315,-0.07302587141377566,,0.18957293237604306,,,,,,,,4.0,,
2012-07-01,,0.0063514742340927315,-0.09673664389451786,,0.07352311842070436,,,,,,,,4.0,,
2012-08-01,,0.0063514742340927315,-0.10971008605524543,,0.1043319712676909,,,,,,,,4.0,,
2012-09-01,,0.0008217011689902408,-0.24296899599625302,,-0.17709357960577157,,,,,,,,4.0,,
2012-10-01,,0.0008217011689902408,-0.27314912574142414,,-0.19183531527464961,,,,,,,,4.0,,
2012-11-01,,0.0008217011689902408,-0.24406680535188408,,-0.11863051453516987,,,,,,,,4.0,,
2012-12-01,,-0.00647962293741958,-0.3132243934469994,,-0.2657418495737594,,,,,,,,4.0,,
2013-01-01,,-0.00647962293741958,-0.36161659574289223,,-0.33975163325746666,,,,,,,,3.0,,
2013-02-01,,-0.00647962293741958,-0.22369466815066524,,-0.0895986013514473,,,,,,,,3.0,,
2013-03-01,,-0.00862255970257923,-0.12774704980991688,,0.08292280311748434,,,,,,,,3.0,,
2013-04-01,,-0.00862255970257923,-0.19610700296723052,,0.0037772453460624103,,,,,,,,3.0,,
2013-05-01,,-0.00862255970257923,-0.22044364611640507,,-0.10549531280626583,,,,,,,,3.0,,
2013-06-01,,0.004070508283879706,-0.2572390800774612,,-0.2816804842640575,,,-1.2338351172340118,-0.057217937473940175,0.02888660170762768,-1.2621664530003243,-2.414114949743276,3.0,,-0.003786499359000973
2013-07-01,,0.004070508283879706,-0.21440602437715672,,-0.12991675923618837,,,-0.45711399890751847,-0.010656527542290338,0.13426091433774795,-0.33350961211206087,-0.6378956900406547,3.0,,-0.0010005288363361827
2013-08-01,,0.004070508283879706,-0.24738646613229434,,-0.17395567341992352,,,-1.0217876786801505,-0.05621051304421759,-0.0055149473820523005,-1.0835131391064206,-2.072409119369459,3.0,,-0.003250539417319262
2013-09-01,,-0.005675256369846177,-0.3054716060988168,,-0.11873961202379418,,,-0.6658429079548348,-0.040096781548059096,-0.05223587540756411,-0.758175564910458,-1.4501438866715943,3.0,,-0.0022745266947313742
2013-10-01,,-0.005675256369846177,-0.2751718162123038,,-0.12682010551373532,,,-1.3101606931222216,-0.1070992682449771,-0.21838508710495444,-1.6356450484721532,-3.128458338124739,3.0,,-0.00490693514541646
2013-11-01,,-0.005675256369846177,-0.3239807892594393,,-0.17683041364812724,,,-1.4215728234070464,-0.12534719767901709,-0.05560423153574005,-1.6025242526218035,-3.0651090007852337,3.0,,-0.004807572757865411
2013-12-01,,-0.010341147461779901,-0.3404728742908918,,-0.19699942905796206,,,-1.47021942938136,-0.1479188298115562,-0.374538418522281,-1.9926766777151972,-3.81134401587188,3.0,,-0.005978030033145592
2014-01-01,,-0.010341147461779901,-0.32514489335783,,-0.16619538821957744,,,-2.1660693516005627,-0.2125491274354238,-0.5330424095163893,-2.9116608885523756,-5.569062672302918,3.0,,-0.008734982665657127
2014-02-01,,-0.010341147461779901,-0.37778074090555575,,-0.30608107982516686,,,-3.4654285041721975,-0.3093364650449909,-0.900987544200247,-4.675752513417436,-8.943197640143453,3.0,,-0.014027257540252308
2014-03-01,,-0.012794970753880813,-0.4399137098029289,,-0.5047756921187772,,,-4.522493773863155,-0.38409430279576817,-1.2145641538303964,-6.12115223048932,-11.707778379112783,3.0,,-0.01836345669146796
2014-04-01,,-0.012794970753880813,-0.39427797897979533,,-0.4582734840127627,,,-4.11455310875927,-0.3313674944891057,-1.2489418460556234,-5.694862449303999,-10.892424325583674,3.0,,-0.017084587347912
2014-05-01,,-0.012794970753880813,-0.41226337909581534,,-0.3636962058050192,,,-3.700164113534347,-0.34836065999026355,-1.3993116973802875,-5.447836470904898,-10.419943769623218,3.0,,-0.016343509412714695
2014-06-01,,-0.021981957382418073,-0.45604454521861876,,-0.2827057110613022,,,-3.3424652403480644,-0.30553011928751994,-1.3595502207752175,-5.0075455804108016,-9.577810136257426,3.0,,-0.015022636741232404
2014-07-01,,-0.021981957382418073,-0.5185886246863909,,-0.49342166722575037,,,-4.469680940582463,-0.38015475472157323,-1.5273841677983595,-6.377219863102396,-12.197552686271015,3.0,,-0.01913165958930719
2014-08-01,,-0.021981957382418073,-0.4095373455245888,,-0.30304416095134584,,,-3.190951570616221,-0.24865376495547303,-1.1568388486697294,-4.596444184241424,-8.791506535814186,3.0,,-0.013789332552724272
2014-09-01,,-0.010964506742382774,-0.3084446973176079,,-0.17234602516909125,,,-1.5066335926729393,-0.11695429011282524,-0.7412687574425213,-2.364856640228286,-4.523203540708664,3.0,,-0.0070945699206848584
2014-10-01,,-0.010964506742382774,-0.2568210001391383,,-0.10324884868135496,,,-0.1849581769871649,-0.03759099484926796,-0.4348692646143821,-0.6574184364508149,-1.2574281877798843,3.0,,-0.0019722553093524447
2014-11-01,,-0.010964506742382774,-0.21230731057053234,,0.05923700167095907,,,0.43241615678445894,0.021340656453419107,-0.37658137272833114,0.07717544050954689,0.1476115802668003,3.0,,0.00023152632152864067
2014-12-01,,-0.001278926176445223,-0.12109862023068872,,0.17840181157174534,,,1.430407243490847,0.08680059081628272,0.10475621904626066,1.6219640533533906,3.1022910328813937,3.0,,0.004865892160060172
2015-01-01,,-0.001278926176445223,0.007585476817390494,,0.34031775486583443,,,3.107370133115464,0.2156622740889496,0.41290497877389076,3.7359373859783043,7.145636198265146,15.090000000000002,,0.05637529515441262
2015-02-01,,-0.001278926176445223,-0.05159741132671209,,0.23977358144145172,,,2.7818106451411606,0.19694486934413158,0.42067207681777924,3.3994275913030716,6.50200213230704,15.090000000000002,,0.05129736235276336
2015-03-01,,-0.0009817992236351703,0.026253222519301588,,0.41444456820611153,,,4.036833963156021,0.28560929147810293,0.7154097236837764,5.0378529783179005,9.635778356060307,15.090000000000002,,0.07602120144281713
2015-04-01,,-0.0009817992236351703,0.044722341756512136,,0.48219243033590525,,,4.371342520837472,0.26813929792633134,0.8937918149289676,5.533273633692771,10.583357344322149,15.090000000000002,,0.08349709913242391
2015-05-01,,-0.0009817992236351703,-0.03465297513284857,,0.249353464182753,,,2.620790206157282,0.176636792080474,0.625985718081496,3.423412716319252,6.547877895155418,15.090000000000002,,0.051659297889257515
2015-06-01,,0.0072241982065734175,-0.06509158150642648,,0.22173990425914206,,,2.417934927017147,0.1218554664060143,0.543044026455427,3.082834419878588,5.896462105232429,15.090000000000002,,0.0465199713959679
2015-07-01,,0.0072241982065734175,-0.04073924716485817,,0.2913779570871552,,,2.886847490504721,0.14383798642549622,0.6554884326312733,3.6861739095614903,7.050454812257419,15.090000000000002,,0.0556243642952829
2015-08-01,,0.0072241982065734175,-0.10613704906409334,,0.17804539498947172,,,2.1469346695869347,0.06616592481452441,0.39289297812268176,2.6059935725241408,4.984420262011037,15.090000000000002,,0.03932444300938929
2015-09-01,,0.00012927255147670335,-0.04567323364914906,,0.1298335053354648,,,1.8185832654521876,0.05100760434348275,0.30353204266219486,2.1731229124578655,4.156479122166016,15.090000000000002,,0.03279242474898919
2015-10-01,,0.00012927255147670335,-0.11952358074652417,,0.05879902717912424,,,1.0112308567310022,0.035537237483793956,0.1210700246121624,1.1678381188269584,2.233695448677482,15.090000000000002,,0.017622677213098802
2015-11-01,,0.00012927255147670335,-0.10812320372757013,,-0.06809759476570548,,,0.6751302636354095,0.03677214584331921,0.04067184428552957,0.7525742537642583,1.4394303956387275,15.090000000000002,,0.01135634548930266
2015-12-01,,-0.008012575184022153,-0.06406725768406155,,-0.04471773570709416,,,0.8238993962679552,0.08272824586340483,0.14935986967410117,1.0559875118054611,2.019761524267919,15.090000000000002,,0.015934851553144412
2016-01-01,,-0.008012575184022153,-0.026500808308193763,,-0.03382316136133527,,,1.140491603611254,0.1325361212557002,0.2993689503119532,1.5723966751789074,3.0074847191926177,13.39,,0.02105439148064557
2016-02-01,,-0.008012575184022153,0.10666225211526756,,0.09859235158282563,,,1.8898435573010013,0.20046674171779613,0.45887351135417603,2.5491838103729734,4.875761617365173,13.39,,0.03413357122089411
2016-03-01,,-0.005369614537519746,0.05036373251964482,,0.005581941748447145,,,0.9561588409933178,0.13907517347665435,0.26563102889641027,1.3608650433663825,2.602893333097463,13.39,,0.01822198293067586
2016-04-01,,-0.005369614537519746,0.06441723993475404,,-0.0850311222000149,,,0.6332144640506514,0.14106494914452036,0.15322286695058396,0.9275022801457558,1.774010959567367,13.39,,0.01241925553115167
2016-05-01,,-0.005369614537519746,0.14049974832940818,,0.08540220395464734,,,1.6534914361991753,0.20707445459378465,0.325165710171211,2.185731600964171,4.1805954527398255,13.39,,0.02926694613691025
2016-06-01,,-0.0043854818702854315,0.3228257994063151,,0.2914576844133205,,,2.7258931501385812,0.3136620827951718,0.6030031881827441,3.6425584211164974,6.967032532695861,13.39,,0.0487738572587499
2016-07-01,,-0.0043854818702854315,0.6333595042449067,,0.814097623489747,,,6.289068029360525,0.6351595813761749,1.4343204952391428,8.358548105975842,15.987190827975082,13.39,,0.11192095913901653
2016-08-01,,-0.0043854818702854315,0.7284309548808943,,0.8802192563573239,,,6.345709318181608,0.6566969714079653,1.4962663202009117,8.498672609790486,16.255203544269488,13.39,,0.11379722624509461
2016-09-01,,0.008628456955774737,0.6345196369139239,,0.8472581217987191,,,5.541046789045215,0.59371048768251,1.2908790108458084,7.425636287573533,14.202833176697355,13.39,,0.0994292698906096
2016-10-01,,0.008628456955774737,0.8657375972260635,,1.2578820614864854,,,8.658476388595915,0.8228993671183401,1.9890809030797094,11.470456658793966,21.939262317226007,13.39,,0.1535894146612512
2016-11-01,,0.008628456955774737,0.804689895995624,,1.1638055488028203,,,7.432822611697007,0.7347501457222942,1.821379209452545,9.988951966871845,19.10562447462437,13.39,,0.133752066836414
