date,headline_strict_unchained_index,headline_strict_chained_index_jan2015_100,headline_strict_components_available,headline_strict_weight_coverage,headline_strict_missing_components,headline_strict_index_2015_100,headline_available_unchained_index,headline_available_chained_index_jan2015_100,headline_available_components_available,headline_available_weight_coverage,headline_available_missing_components,headline_available_index_2015_100,ex_games_strict_unchained_index,ex_games_strict_chained_index_jan2015_100,ex_games_strict_components_available,ex_games_strict_weight_coverage,ex_games_strict_missing_components,ex_games_strict_index_2015_100,ex_games_available_unchained_index,ex_games_available_chained_index_jan2015_100,ex_games_available_components_available,ex_games_available_weight_coverage,ex_games_available_missing_components,ex_games_available_index_2015_100,telecom_computing_strict_unchained_index,telecom_computing_strict_chained_index_jan2015_100,telecom_computing_strict_components_available,telecom_computing_strict_weight_coverage,telecom_computing_strict_missing_components,telecom_computing_strict_index_2015_100,telecom_computing_available_unchained_index,telecom_computing_available_chained_index_jan2015_100,telecom_computing_available_components_available,telecom_computing_available_weight_coverage,telecom_computing_available_missing_components,telecom_computing_available_index_2015_100,audio_visual_optical_strict_unchained_index,audio_visual_optical_strict_chained_index_jan2015_100,audio_visual_optical_strict_components_available,audio_visual_optical_strict_weight_coverage,audio_visual_optical_strict_missing_components,audio_visual_optical_strict_index_2015_100,audio_visual_optical_available_unchained_index,audio_visual_optical_available_chained_index_jan2015_100,audio_visual_optical_available_components_available,audio_visual_optical_available_weight_coverage,audio_visual_optical_available_missing_components,audio_visual_optical_available_index_2015_100,media_games_strict_unchained_index,media_games_strict_chained_index_jan2015_100,media_games_strict_components_available,media_games_strict_weight_coverage,media_games_strict_missing_components,media_games_strict_index_2015_100,media_games_available_unchained_index,media_games_available_chained_index_jan2015_100,media_games_available_components_available,media_games_available_weight_coverage,media_games_available_missing_components,media_games_available_index_2015_100,targeted_hardware_strict_unchained_index,targeted_hardware_strict_chained_index_jan2015_100,targeted_hardware_strict_components_available,targeted_hardware_strict_weight_coverage,targeted_hardware_strict_missing_components,targeted_hardware_strict_index_2015_100,targeted_hardware_available_unchained_index,targeted_hardware_available_chained_index_jan2015_100,targeted_hardware_available_components_available,targeted_hardware_available_weight_coverage,targeted_hardware_available_missing_components,targeted_hardware_available_index_2015_100,tech_adjacent_durables_strict_unchained_index,tech_adjacent_durables_strict_chained_index_jan2015_100,tech_adjacent_durables_strict_components_available,tech_adjacent_durables_strict_weight_coverage,tech_adjacent_durables_strict_missing_components,tech_adjacent_durables_strict_index_2015_100,tech_adjacent_durables_available_unchained_index,tech_adjacent_durables_available_chained_index_jan2015_100,tech_adjacent_durables_available_components_available,tech_adjacent_durables_available_weight_coverage,tech_adjacent_durables_available_missing_components,tech_adjacent_durables_available_index_2015_100,expanded_consumer_tech_strict_unchained_index,expanded_consumer_tech_strict_chained_index_jan2015_100,expanded_consumer_tech_strict_components_available,expanded_consumer_tech_strict_weight_coverage,expanded_consumer_tech_strict_missing_components,expanded_consumer_tech_strict_index_2015_100,expanded_consumer_tech_available_unchained_index,expanded_consumer_tech_available_chained_index_jan2015_100,expanded_consumer_tech_available_components_available,expanded_consumer_tech_available_weight_coverage,expanded_consumer_tech_available_missing_components,expanded_consumer_tech_available_index_2015_100,broad_tech_exposure_strict_unchained_index,broad_tech_exposure_strict_chained_index_jan2015_100,broad_tech_exposure_strict_components_available,broad_tech_exposure_strict_weight_coverage,broad_tech_exposure_strict_missing_components,broad_tech_exposure_strict_index_2015_100,broad_tech_exposure_available_unchained_index,broad_tech_exposure_available_chained_index_jan2015_100,broad_tech_exposure_available_components_available,broad_tech_exposure_available_weight_coverage,broad_tech_exposure_available_missing_components,broad_tech_exposure_available_index_2015_100
2015-01-01,99.99999999999999,100.0,10,1.0,,103.71306940196541,99.99999999999999,100.0,10,1.0,,103.71306940196541,99.99999999999999,100.0,9,1.0,,104.81416852960545,99.99999999999999,100.0,9,1.0,,104.81416852960545,99.99999999999999,100.0,3,1.0,,108.85721459580236,99.99999999999999,100.0,3,1.0,,108.85721459580236,100.0,100.0,5,1.0,,101.60758043570723,100.0,100.0,5,1.0,,101.60758043570723,100.0,100.0,2,1.0,,101.81988022251292,100.0,100.0,2,1.0,,101.81988022251292,100.0,100.0,8,1.0,,104.8357304328172,100.0,100.0,8,1.0,,104.8357304328172,100.0,100.0,5,1.0,,99.06558155209004,100.0,100.0,5,1.0,,99.06558155209004,99.99999999999999,100.0,12,1.0,,101.96659674023022,99.99999999999999,100.0,12,1.0,,101.96659674023022,100.0,100.0,14,1.0,,100.47112230153434,100.0,100.0,14,1.0,,100.47112230153434
2015-02-01,99.10244740204747,99.10244740204747,10,1.0,,102.78219005313176,99.10244740204747,99.10244740204747,10,1.0,,102.78219005313176,99.42151508932118,99.42151508932119,9,1.0,,104.20783438040824,99.42151508932118,99.42151508932119,9,1.0,,104.20783438040824,97.65360893239675,97.65360893239675,3,1.0,,106.30299863608474,97.65360893239675,97.65360893239675,3,1.0,,106.30299863608474,100.85303602855578,100.85303602855578,5,1.0,,102.47432970456762,100.85303602855578,100.85303602855578,5,1.0,,102.47432970456762,98.6314205244665,98.6314205244665,2,1.0,,100.42639423977482,98.6314205244665,98.6314205244665,2,1.0,,100.42639423977482,99.3737310271059,99.37373102710589,8,1.0,,104.17917678060955,99.3737310271059,99.37373102710589,8,1.0,,104.17917678060955,100.21235455663296,100.21235455663296,5,1.0,,99.27595182857084,100.21235455663296,100.21235455663296,5,1.0,,99.27595182857084,99.81385905062808,99.81385905062808,12,1.0,,101.77679514901573,99.81385905062808,99.81385905062808,12,1.0,,101.77679514901573,100.01063434767867,100.01063434767867,14,1.0,,100.48180674999657,100.01063434767867,100.01063434767867,14,1.0,,100.48180674999657
2015-03-01,100.2967035833267,100.2967035833267,10,1.0,,104.02078979525915,100.2967035833267,100.2967035833267,10,1.0,,104.02078979525915,98.71959712657477,98.71959712657477,9,1.0,,103.47212490399562,98.71959712657477,98.71959712657477,9,1.0,,103.47212490399562,97.3100118089377,97.3100118089377,3,1.0,,105.92896837805593,97.3100118089377,97.3100118089377,3,1.0,,105.92896837805593,99.84994822053979,99.84994822053979,5,1.0,,101.45511645319701,99.84994822053979,99.84994822053979,5,1.0,,101.45511645319701,103.11146231262559,103.11146231262559,2,1.0,,104.98796742239693,103.11146231262559,103.11146231262559,2,1.0,,104.98796742239693,98.67556901947646,98.67556901947646,8,1.0,,103.44725354030682,98.67556901947646,98.67556901947646,8,1.0,,103.44725354030682,100.20242527302385,100.20242527302385,5,1.0,,99.26611532601952,100.20242527302385,100.20242527302385,5,1.0,,99.26611532601952,99.43561743243546,99.43561743243546,12,1.0,,101.39111504348952,99.43561743243546,99.43561743243546,12,1.0,,101.39111504348952,99.82419882390423,99.82419882390423,14,1.0,,100.29449288689163,99.82419882390423,99.82419882390423,14,1.0,,100.29449288689163
2015-04-01,97.88316818438734,97.88316818438734,10,1.0,,101.51763815191617,97.88316818438734,97.88316818438734,10,1.0,,101.51763815191617,98.07095730883289,98.07095730883289,9,1.0,,102.79225847227752,98.07095730883289,98.07095730883289,9,1.0,,102.79225847227752,96.19872228427754,96.19872228427754,3,1.0,,104.71924955541594,96.19872228427754,96.19872228427754,3,1.0,,104.71924955541594,99.6533123400431,99.6533123400431,5,1.0,,101.25531949275586,99.6533123400431,99.6533123400431,5,1.0,,101.25531949275586,97.58303219226481,97.58303219226482,2,1.0,,99.35892649566027,97.58303219226481,97.58303219226482,2,1.0,,99.35892649566027,98.05602876587193,98.05602876587193,8,1.0,,102.7977539901152,98.05602876587193,98.05602876587193,8,1.0,,102.7977539901152,100.71812137052393,100.71812137052393,5,1.0,,99.77699266404942,100.71812137052393,100.71812137052393,5,1.0,,99.77699266404942,99.02649570580868,99.02649570580868,12,1.0,,100.97394754232334,99.02649570580868,99.02649570580868,12,1.0,,100.97394754232334,100.04290660225284,100.04290660225284,14,1.0,,100.51423104635924,100.04290660225284,100.04290660225284,14,1.0,,100.51423104635924
2015-05-01,97.49002597626551,97.49002597626551,10,1.0,,101.10989830075835,97.49002597626551,97.49002597626551,10,1.0,,101.10989830075835,96.53484782907066,96.53484782907066,9,1.0,,101.18219809336028,96.53484782907066,96.53484782907066,9,1.0,,101.18219809336028,90.88639502806508,90.8863950280651,3,1.0,,98.93639807408945,90.88639502806508,90.8863950280651,3,1.0,,98.93639807408945,101.39812040099942,101.39812040099942,5,1.0,,103.02817674674077,101.39812040099942,101.39812040099942,5,1.0,,103.02817674674077,99.14326116013346,99.14326116013346,2,1.0,,100.94754976194108,99.14326116013346,99.14326116013346,2,1.0,,100.94754976194108,96.53786028233085,96.53786028233085,8,1.0,,101.20617097119408,96.53786028233085,96.53786028233085,8,1.0,,101.20617097119408,100.94005787542615,100.94005787542615,5,1.0,,99.99685535330717,100.94005787542615,100.94005787542615,5,1.0,,99.99685535330717,98.35860749127298,98.35860749127298,12,1.0,,100.29292465993218,98.35860749127298,98.35860749127298,12,1.0,,100.29292465993218,99.81641657049876,99.81641657049877,14,1.0,,100.28667396955481,99.81641657049876,99.81641657049877,14,1.0,,100.28667396955481
2015-06-01,96.55254752044341,96.5525475204434,10,1.0,,100.13761061924309,96.55254752044341,96.5525475204434,10,1.0,,100.13761061924309,97.36369404156444,97.36369404156444,9,1.0,,102.05094635937478,97.36369404156444,97.36369404156444,9,1.0,,102.05094635937478,93.22839594667715,93.22839594667715,3,1.0,,101.48583503989866,93.22839594667715,93.22839594667715,3,1.0,,101.48583503989866,100.90421136014194,100.90421136014194,5,1.0,,102.52632772077229,100.90421136014194,100.90421136014194,5,1.0,,102.52632772077229,95.15894800001443,95.15894800001442,2,1.0,,96.89072687461804,95.15894800001443,95.15894800001442,2,1.0,,96.89072687461804,97.35517842703457,97.35517842703457,8,1.0,,102.06301241815416,97.35517842703457,97.35517842703457,8,1.0,,102.06301241815416,100.73929740749855,100.73929740749855,5,1.0,,99.797970828228,100.73929740749855,100.73929740749855,5,1.0,,99.797970828228,98.44283810486917,98.44283810486917,12,1.0,,100.37881175002963,98.44283810486917,98.44283810486917,12,1.0,,100.37881175002963,99.87827890188757,99.87827890188757,14,1.0,,100.34882774818303,99.87827890188757,99.87827890188757,14,1.0,,100.34882774818303
2015-07-01,94.89484225988339,94.89484225988339,10,1.0,,98.41835361187844,94.89484225988339,94.89484225988339,10,1.0,,98.41835361187844,93.53591378462444,93.53591378462444,9,1.0,,98.03889030992272,93.53591378462444,93.53591378462444,9,1.0,,98.03889030992272,89.9069575262785,89.90695752627852,3,1.0,,97.87020969093788,89.9069575262785,89.90695752627852,3,1.0,,97.87020969093788,96.60910873423886,96.60910873423886,5,1.0,,98.16217786536163,96.60910873423886,96.60910873423886,5,1.0,,98.16217786536163,97.29886970123205,97.29886970123205,2,1.0,,99.06959258765339,97.29886970123205,97.29886970123205,2,1.0,,99.06959258765339,93.51026462733246,93.51026462733245,8,1.0,,98.03216895172426,93.51026462733246,93.51026462733245,8,1.0,,98.03216895172426,101.1069198240827,101.1069198240827,5,1.0,,100.16215811313293,101.1069198240827,101.1069198240827,5,1.0,,100.16215811313293,96.93437521706771,96.93437521706772,12,1.0,,98.8406834802491,96.93437521706771,96.93437521706772,12,1.0,,98.8406834802491,99.17577578866307,99.17577578866307,14,1.0,,99.64301498612316,99.17577578866307,99.17577578866307,14,1.0,,99.64301498612316
2015-08-01,94.04545981592278,94.04545981592278,10,1.0,,97.53743300828548,94.04545981592278,94.04545981592278,10,1.0,,97.53743300828548,93.41323514523147,93.41323514523147,9,1.0,,97.91030571407956,93.41323514523147,93.41323514523147,9,1.0,,97.91030571407956,89.33021686918576,89.33021686918578,3,1.0,,97.24238587618518,89.33021686918576,89.33021686918578,3,1.0,,97.24238587618518,96.92706710416695,96.92706710416695,5,1.0,,98.48524767183837,96.92706710416695,96.92706710416695,5,1.0,,98.48524767183837,95.14091059393884,95.14091059393884,2,1.0,,96.87236120935663,95.14091059393884,95.14091059393884,2,1.0,,96.87236120935663,93.41454495250899,93.41454495250899,8,1.0,,97.93182053145517,93.41454495250899,93.41454495250899,8,1.0,,97.93182053145517,101.63940370660787,101.63940370660787,5,1.0,,100.68966636802763,101.63940370660787,101.63940370660787,5,1.0,,100.68966636802763,97.6962802050887,97.6962802050887,12,1.0,,99.61757206692815,97.6962802050887,97.6962802050887,12,1.0,,99.61757206692815,99.54114671554683,99.54114671554684,14,1.0,,100.0101072569268,99.54114671554683,99.54114671554684,14,1.0,,100.0101072569268
2015-09-01,92.89522975529361,92.89522975529363,10,1.0,,96.34449410722289,92.89522975529361,92.89522975529363,10,1.0,,96.34449410722289,93.14956457986494,93.14956457986494,9,1.0,,97.63394160333331,93.14956457986494,93.14956457986494,9,1.0,,97.63394160333331,88.24660690599629,88.24660690599629,3,1.0,,96.06279825317452,88.24660690599629,88.24660690599629,3,1.0,,96.06279825317452,97.33367050324367,97.33367050324367,5,1.0,,98.89838754760957,97.33367050324367,97.33367050324367,5,1.0,,98.89838754760957,92.48391111113555,92.48391111113555,2,1.0,,94.16700751845354,92.48391111113555,92.48391111113555,2,1.0,,94.16700751845354,93.1321249690325,93.1321249690325,8,1.0,,97.63574347888935,93.1321249690325,93.1321249690325,8,1.0,,97.63574347888935,101.34205922902275,101.34205922902274,5,1.0,,100.39510033209491,101.34205922902275,101.34205922902274,5,1.0,,100.39510033209491,97.33947346691937,97.33947346691937,12,1.0,,99.25374837907707,97.33947346691937,97.33947346691937,12,1.0,,99.25374837907707,99.25239147622034,99.25239147622034,14,1.0,,99.71999162727099,99.25239147622034,99.25239147622034,14,1.0,,99.71999162727099
2015-10-01,96.4211322525229,96.4211322525229,10,1.0,,100.00131581121991,96.4211322525229,96.4211322525229,10,1.0,,100.00131581121991,93.40440078881342,93.40440078881342,9,1.0,,97.90104605685502,93.40440078881342,93.40440078881342,9,1.0,,97.90104605685502,88.73950108557345,88.73950108557345,3,1.0,,96.59934912796705,88.73950108557345,88.73950108557345,3,1.0,,96.59934912796705,97.39808973484827,97.39808973484827,5,1.0,,98.96384237017828,97.39808973484827,97.39808973484827,5,1.0,,98.96384237017828,101.67597035870837,101.67597035870837,2,1.0,,103.52635123431459,101.67597035870837,101.67597035870837,2,1.0,,103.52635123431459,93.39465627335561,93.39465627335561,8,1.0,,97.91097008939128,93.39465627335561,93.39465627335561,8,1.0,,97.91097008939128,101.91820128404231,101.91820128404231,5,1.0,,100.9658588094662,101.91820128404231,101.91820128404231,5,1.0,,100.9658588094662,98.34208179194489,98.34208179194489,12,1.0,,100.27607396673982,98.34208179194489,98.34208179194489,12,1.0,,100.27607396673982,99.7465777297319,99.74657772973188,14,1.0,,100.21650610243394,99.7465777297319,99.74657772973188,14,1.0,,100.21650610243394
