target,candidate,horizon,window,evaluation_period,model,benchmark,n_forecasts,mae,rmse,bias,benchmark_mae,benchmark_rmse,mae_ratio,rmse_ratio,rmse_ratio_lower_90,rmse_ratio_upper_90,rmse_ratio_bootstrap_block,rmse_ratio_bootstrap_draws,direction_accuracy,dm_loss_gain_z,dm_two_sided_p,clark_west_z,clark_west_one_sided_p,clark_west_fdr_q
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,full,a1_ardl_ols,a0_controls_ols,112,2.077095135477415,2.5848619435803153,-0.08009112246593435,1.5148162259562825,2.1586640441729417,1.3711862204051672,1.1974359560756314,1.0690471396503203,1.3937808848109743,12,2000,0.5089285714285714,-2.017900140549022,0.043601662421149344,2.866151659766055,0.0020774757126570814,0.0020774757126570814
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ridge,112,2.0066955253484644,2.5359766698967943,-0.09013093076521035,1.5223508333578053,2.1637722508908195,1.3181557636897363,1.1720164489828997,1.0564401793885192,1.3192496624147556,12,2000,0.45535714285714285,-2.9127007661638338,0.003583177814905026,1.5711108787259123,0.05807844806320928,0.05807844806320928
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,full,a1_ardl_ridge,a0_controls_ols,112,2.0066955253484644,2.5359766698967943,-0.09013093076521035,1.5148162259562825,2.1586640441729417,1.3247121934422543,1.1747898783705428,1.058781400921788,1.320730146967601,12,2000,0.45535714285714285,-2.858997228953328,0.004249824970732275,2.015470100740978,0.021927707904598324,0.021927707904598324
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ols,a0_controls_ols,42,2.584346225158574,3.016471215268026,-0.8322360420771341,1.6320685163549038,2.288736578265628,1.5834790018071712,1.317963475531931,1.0614536262766763,1.8941636087732072,12,2000,0.6428571428571429,-1.5433762268692632,0.12273951832433844,2.841866505556127,0.0022425133620484696,0.0022425133620484696
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ridge,a0_controls_ridge,42,2.551722685467076,2.9974122116168105,-0.4549945998430987,1.646550012288091,2.3021884311834913,1.549738948968293,1.301983873698785,1.0744824444590304,1.7107079174773128,12,2000,0.5238095238095238,-2.602494242169076,0.009254836921608835,1.772278240125016,0.03817419074011885,0.03817419074011885
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pre_2020,a1_ardl_ridge,a0_controls_ols,42,2.551722685467076,2.9974122116168105,-0.4549945998430987,1.6320685163549038,2.288736578265628,1.5634899269830578,1.3096361722362155,1.0796226567193947,1.7049648343508566,12,2000,0.5238095238095238,-2.5434370194456353,0.010976784355024282,2.2414509243136505,0.012498440515849663,0.012498440515849663
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ols,a0_controls_ols,36,2.0418463440529475,2.6195142624389387,1.0455495596008575,1.7117132084975164,2.3517102426928234,1.1928670842268085,1.113876282411164,1.0249470847564637,1.253044246622629,12,2000,0.3611111111111111,-1.4143774927966668,0.15725109489662248,0.758834717038682,0.22397571754330814,0.22397571754330814
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ridge,36,2.008399785161691,2.589735727127438,0.6286861436028617,1.7290911659314503,2.3604665014385433,1.1615349292932042,1.0971287775315475,1.0561964758212572,1.171977241988634,12,2000,0.2777777777777778,-1.8260902445514664,0.06783666943311052,-0.7391059396089242,0.7700786647803015,0.7700786647803015
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,pandemic_2020_2022,a1_ardl_ridge,a0_controls_ols,36,2.008399785161691,2.589735727127438,0.6286861436028617,1.7117132084975164,2.3517102426928234,1.1733272695398524,1.1012137805557474,1.0629087887889532,1.17103098726977,12,2000,0.2777777777777778,-2.006818870466356,0.044768952818991695,-0.846365882275127,0.8013256673963853,0.8013256673963853
uk_ipi_c26_12m_pct,ardl_asia_to_import,1,expanding_ardl6_ar2_min30,post_2022,a1_ardl_ols,a0_controls_ols,34,1.4878130979677713,1.8719315448956009,-0.3428257674875259,1.1614960033613846,1.7387647527993961,1.2809455165252577,1.0765870091867271,0.9941309901160853,1.342786585960982,12,2000,0.5,-0.8649005923408749,0.38709335245845766,0.5006152546085572,0.3083209622389752,0.3083209622389752
