method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_12,n,ar_lags
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,8,0.11892261757217264,0.13118332223301893,1.0,1.0,28,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,9,-0.050566378161436956,0.004807532539542851,1.0,1.0,27,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,10,0.19282548083165435,0.2176606923354621,1.0,1.0,26,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,11,0.3636986108892544,0.35527073018912,0.5,1.0,25,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,12,0.05684452184749723,0.05684452184749723,1.0,1.0,24,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,0,-0.16837493886385377,-0.07200055660048453,0.7142857142857143,1.0,42,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,1,-0.03268566273488827,-0.056417168018252334,0.7142857142857143,1.0,41,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,2,0.0896911462621825,-0.01760907598385138,0.8571428571428571,1.0,40,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,3,0.031326484539890856,0.1286393632808762,0.2857142857142857,1.0,39,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,4,-0.19431899075141282,-0.3232911727292665,0.14285714285714285,0.5714285714285714,38,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,5,0.279940604886103,0.23332736574654298,0.2857142857142857,1.0,37,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,6,-0.19020313632492522,-0.30566025492988913,0.14285714285714285,0.5714285714285714,36,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,7,0.17170386196267015,0.19175867779905076,0.42857142857142855,1.0,35,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,8,0.09517435908199103,0.08221226606605808,0.7142857142857143,1.0,34,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,9,0.3805472995653492,0.33990041316667735,0.2857142857142857,0.5714285714285714,33,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,10,0.04760190601013017,0.09406459914025478,0.7142857142857143,1.0,32,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,11,0.0862832689507748,0.055068292273049886,0.7142857142857143,1.0,31,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,12,0.1311849773664047,0.1311849773664047,0.42857142857142855,1.0,30,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,0,-0.049714526394634986,-0.04557121654230857,0.6521739130434783,1.0,58,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,1,0.06902504030522517,0.05336130110610203,0.782608695652174,1.0,57,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,2,-0.1049850398593157,-0.08640467898788257,0.6086956521739131,1.0,56,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,3,-0.18159595139182236,-0.1600633447022863,0.2608695652173913,1.0,55,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,4,0.044946480556111994,0.07272240477278273,0.6521739130434783,1.0,54,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,5,0.06378126415334169,-0.018172842849153516,1.0,1.0,53,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,6,-0.31941417348391404,-0.45120952323557423,0.043478260869565216,0.043478260869565216,52,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,7,-0.31037997060567474,-0.3011036423777182,0.043478260869565216,0.2608695652173913,51,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,8,0.0905612022187765,0.07785508929814697,0.6521739130434783,1.0,50,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,9,-0.03851670625658209,-0.04093798270986737,0.7391304347826086,1.0,49,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,10,-0.07648373114745541,-0.0795932018298094,0.6956521739130435,1.0,48,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,11,0.11315804978151367,0.12646027272240534,0.5217391304347826,1.0,47,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,full,12,0.010447793454098278,0.010447793454098278,0.9565217391304348,1.0,46,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,0,-0.09083164219421865,-0.22092597230981936,0.5,1.0,33,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,1,0.2422156823864415,0.15754705954499443,0.5,1.0,32,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,2,0.09636477343480332,0.2903249813084979,0.5,1.0,31,12
prewhitened_ar,headline_12m_pct,kr_epi_tech_gbp_12m_pct,pandemic_2020_2022,3,-0.29475891720304165,-0.12792670034074213,1.0,1.0,30,12
