target,impulse,period,n,cumulative_effect,standard_error,z,p_value,r_squared
uk_ipi_c26_12m_pct,jp_epi_electronics_yen_12m_pct,full,197,0.032004391421625186,0.037059952519305356,0.8635842532435352,0.38781631752082685,0.8783355224147199
uk_ipi_c26_12m_pct,jp_epi_electronics_yen_12m_pct,from_2023,42,-0.169582188743299,0.042554033184121834,-3.9851026108278527,6.745097171349416e-05,0.9312641809038361
uk_ipi_c26_12m_pct,kr_epi_tech_12m_pct,full,70,0.005475217677226196,0.01572574889549799,0.3481689624837935,0.7277132956039096,0.9122248272789703
uk_ipi_c26_12m_pct,kr_epi_tech_12m_pct,from_2023,31,,,,,
uk_ipi_c26_12m_pct,cn_ppi_tech_12m_pct,full,52,-0.17391476905972214,0.2835692515316561,-0.6133061610888629,0.5396739203398526,0.9435576975807386
uk_ipi_c26_12m_pct,cn_ppi_tech_12m_pct,from_2023,36,2.1051180977479578,0.5969096731198187,3.5266945612479526,0.000420781879085558,0.9371138501497791
uk_ipi_c26_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,full,197,0.1499950076802251,0.04547559661484557,3.298362613042861,0.0009725045738397282,0.8912110940736426
uk_ipi_c26_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,from_2023,42,0.5128043737178475,0.2951831693132376,1.7372412353689386,0.08234459925461579,0.9356004556966266
uk_ipi_c26_12m_pct,hk_ppi_tech_12m_pct,full,197,-0.21531267807047358,0.114515616531993,-1.8802036315310777,0.060080330876696716,0.8933028168893025
uk_ipi_c26_12m_pct,hk_ppi_tech_12m_pct,from_2023,42,-0.07222981872487749,0.40557051986604514,-0.17809435150447842,0.8586488779681125,0.9463467513920696
uk_ipi_c26_noneu_12m_pct,jp_epi_electronics_yen_12m_pct,full,352,0.05782518115853656,0.038526846269899995,1.5009061669216834,0.13337983290344035,0.9190931962630442
uk_ipi_c26_noneu_12m_pct,jp_epi_electronics_yen_12m_pct,from_2023,42,-0.2232481959476508,0.03794776173567373,-5.883039887904135,4.027988009159634e-09,0.9368933970901845
uk_ipi_c26_noneu_12m_pct,kr_epi_tech_12m_pct,full,70,0.003023803558366983,0.021476022888940155,0.1407990471049553,0.8880286958667665,0.9057288272963286
uk_ipi_c26_noneu_12m_pct,kr_epi_tech_12m_pct,from_2023,31,,,,,
uk_ipi_c26_noneu_12m_pct,cn_ppi_tech_12m_pct,full,52,-0.2606919551882956,0.4136281625540556,-0.6302567832388025,0.5285265932910892,0.9441949191660365
uk_ipi_c26_noneu_12m_pct,cn_ppi_tech_12m_pct,from_2023,36,2.0616847055592085,1.1163573793551433,1.8467963249816357,0.06477666471485242,0.9412567505657508
uk_ipi_c26_noneu_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,full,324,0.042062046381380835,0.03124599103863544,1.3461581784802865,0.17825150931026792,0.9082682060058285
