origin,scenario,scenario_label,target,target_label,target_group,horizon,baseline_forecast,scenario_forecast,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90,model,model_n,weight_year,basket_weight_per_1000,core_cpi_weight_per_1000,headline_cpi_contribution_pp,core_cpi_impact_pp,headline_cpi_lower_90_pp,headline_cpi_upper_90_pp,core_cpi_lower_90_pp,core_cpi_upper_90_pp
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,0,-1.0112434032362505,-1.0112434032362505,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,1,-0.13086530587863404,0.2986781723552935,0.4295434782339275,0.20473066358315248,0.08157862923325217,0.7452641623719812,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.005399619247487409,0.006793015491919338,0.0010254923166395195,0.009368417679513227,0.0012901252615206275,0.011785980365433676
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,2,0.3016381122723434,1.4994458021268815,1.197807689854538,0.49065501764795244,0.38578758169857097,1.9490824464822853,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.015057161346085455,0.01894273014451581,0.0048495813745000555,0.02450113580175021,0.00610103785033209,0.030823765054981654
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,3,0.6933507247446187,3.0531684232380396,2.359817698493421,0.9196014533237526,0.8236028761663816,3.7922428204923206,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.029664324360681393,0.03731933784649671,0.010353182315137115,0.04767076759928077,0.01302486798307453,0.059972425456533224
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,4,0.9311151906113218,4.80540206896402,3.8742868783526987,1.4718255623748655,1.454681678180614,6.243047435986975,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.048702110633020435,0.061269911239245904,0.018286221503737224,0.07847885209881787,0.023005063925823625,0.09873067593486079
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,5,1.0719660622783902,6.80152435872785,5.72955829644946,2.1520027221235507,2.2907369565538875,9.273599168008788,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.07202398552134757,0.0906101017518882,0.028795937986056296,0.11657470570137125,0.036226860428103747,0.1466573373972327
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,6,1.1168042893706103,9.022243990414466,7.905439701043856,2.960676399722914,3.2500962591482945,12.863393927309088,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.0993761203059419,0.1250205790119792,0.04085566003524955,0.1617005797026316,0.05139864846603467,0.20342814791680838
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,7,1.082863378453678,11.190267149103306,10.107403770649627,3.7817836385038994,4.2475086927746055,16.4916530247923,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.12705612983932818,0.15984354058732803,0.053393732773392454,0.20730997351345407,0.06717222775843547,0.26080725272649236
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,8,0.9800697632422981,13.360678155593288,12.38060839235099,4.664353917649318,5.2897704317517995,20.383675311404232,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.15563167585688734,0.19579313589956415,0.06649558818937916,0.25623502886953803,0.08365507640653222,0.3223576405860698
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,9,0.8187990883102385,15.487532878548862,14.668733790238623,5.595628662477476,6.165960993738647,24.421157347049668,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.1843947849835736,0.23197869583219566,0.07750982926789103,0.30698860054682253,0.0975115923660383,0.38620840169935805
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,10,0.6075453424480206,17.58635345452242,16.9788081120744,6.5828132921576925,7.007929160471098,28.536979551907475,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.21343380525364244,0.26851136703054523,0.08809387430461797,0.3587269551552081,0.11082689824341363,0.4512980734469953
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,11,0.35387401910778965,19.652738656264134,19.298864637156345,7.623853480727552,7.891870999422003,32.93598614720253,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.24259830780783753,0.3052019017857424,0.09920555358533421,0.41402510746202403,0.12480599677527185,0.5208661648396452
2026-07-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,0.06430177962080869,21.688732691909088,21.62443091228828,8.721163538629249,8.760547653113719,37.30853049459919,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.271832071226011,0.3419795704850983,0.1101253403282313,0.46899061343540854,0.13854368402932637,0.5900157690033334
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,0,-1.0112434032362505,-1.0112434032362505,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,1,-0.13086530587863404,0.01965583346480798,0.15052113934344202,0.07174196397481468,0.028586880817634115,0.2611563590565676,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.001892141034230672,0.002380416612598425,0.00035935424400615143,0.0032828921271564884,0.0004520872370318812,0.004130057334774336
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,2,0.3016381122723434,0.7224772619747961,0.42083914970245273,0.17242185003833457,0.13578231803954594,0.6850278023336398,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.005290200615249652,0.006655360885209508,0.001706865207147916,0.00861121049201525,0.002147329517756139,0.010833372427816606
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,3,0.6933507247446187,1.5161490143290361,0.8227982895844175,0.32037146577883413,0.2858053958562358,1.3232507508058349,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.010343068179049878,0.013012143848282998,0.0035927453091503976,0.016634055888079823,0.0045198695361595665,0.02092654947730957
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,4,0.9311151906113218,2.2651764669822456,1.3340612763709239,0.5058519767268509,0.5047180737299192,2.147229573568502,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.016769950680748335,0.021097512537769418,0.006344609017629321,0.026991964077500208,0.007981864159585376,0.03395736286796706
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,5,1.0719660622783902,3.0136837629468305,1.9417177006684403,0.7275694904557138,0.7801443445225537,3.140377351464396,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.024408556528022693,0.03070729527964438,0.009806882497255212,0.039476427534318334,0.012337593018671936,0.04966349876077644
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,6,1.1168042893706103,3.7475986845166522,2.630794395146042,0.9830931825660463,1.0901563039856752,4.281168597553403,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.03307066402362283,0.041604698913736374,0.013703918834882327,0.053816857972404805,0.017240277263749406,0.06770454233473636
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,7,1.082863378453678,4.471700179953277,3.3888368014995995,1.2708038923611726,1.4276542654021847,5.539122044186597,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.04259971189693086,0.053592760823239265,0.017946470708664702,0.06963008756865204,0.02257763889666189,0.08759844757158616
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,8,0.9800697632422981,5.1846565126717,4.204586749429402,1.5892179564729827,1.784983977074806,6.923483769668433,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.052854178192377234,0.06649343866987559,0.022438319582216554,0.087032345074994,0.028228629751173864,0.10949143658001648
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,9,0.8187990883102385,5.887112464223696,5.0683133759134575,1.9372561985604027,2.125215570327164,8.434406296784797,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.0637117401232577,0.08015284371686389,0.026715234848354644,0.10602554779436296,0.03360922240574327,0.13338592143167985
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,10,0.6075453424480206,6.579069285829384,5.971523943381364,2.314136049306952,2.467203461619197,10.018460068906442,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.07506563888266976,0.09443666756282473,0.031014227834630276,0.1259380541421953,0.03901759003629648,0.15843694038393474
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,11,0.35387401910778965,7.26073359044011,6.906859571332321,2.719374261117807,2.814240875678843,11.717924785184836,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.08682336892739007,0.10922853318941617,0.03537669635180846,0.14730134530464448,0.04450581334648478,0.18531312575430683
2026-07-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,0.06430177962080869,7.932242374825082,7.867940595204273,3.1527463578330446,3.1806821839776567,13.524385510543866,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.09890473404607483,0.12442754938911367,0.03998308346190953,0.1700096404988427,0.05030089954913782,0.21388139954899085
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,0,-1.0112434032362505,-1.0112434032362505,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,1,-0.13086530587863404,-0.23138930334179342,-0.10052399746315938,0.04791213404352001,-0.1744105930223559,-0.01909145484365953,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.0012636469625103913,-0.00158973679424605,-0.002192445800646827,-0.00023999104225770645,-0.002758216386445704,-0.00030192181953145574
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,2,0.3016381122723434,0.02341433306191394,-0.27822377921042946,0.11390334785068187,-0.45234722992665594,-0.08915524741568594,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.0034974398389426243,-0.0043999700569717845,-0.0056862760885160206,-0.0011207349531636216,-0.007153645431313331,-0.0014099456925075952
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,3,0.6933507247446187,0.1332445152903047,-0.560106209454314,0.2187952458858722,-0.9021040048741813,-0.19806784008455186,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.0070408711165663995,-0.008857799852035676,-0.011339988603671382,-0.0024898315905668676,-0.014266324111422094,-0.003132343928668896
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,4,0.9311151906113218,-0.020344062682022435,-0.9514592532933441,0.3633096815840968,-1.5366576796046443,-0.35255173287285907,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.011960413689449311,-0.015046852705401383,-0.01931670902723814,-0.004431786813251562,-0.024301473429999065,-0.005575429507054681
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,5,1.0719660622783902,-0.3943550498260537,-1.466321112104444,0.5541231589144602,-2.377658174366394,-0.5716716196844267,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.01843253617182012,-0.02318913575782264,-0.02988858984669019,-0.007186255262405053,-0.037601476058643696,-0.009040701036303622
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,6,1.1168042893706103,-0.998164890152339,-2.1149691795229493,0.7963608464798524,-3.4431937814393634,-0.8532093193333619,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.026586431568111184,-0.033447180854663354,-0.04328301174896165,-0.010725353069611957,-0.05445238930216049,-0.013493079089248976
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,7,1.082863378453678,-1.836867349943646,-2.919730728397324,1.1008277597568632,-4.777795610383917,-1.1973579013590194,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.036702767094391395,-0.04617408266046252,-0.060059757499892064,-0.015051507234823689,-0.07555845040880113,-0.01893561696419072
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,8,0.9800697632422981,-2.905763349268092,-3.88583311251039,1.4704105681660526,-6.361370658154992,-1.6233973808498134,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.04884725372412311,-0.061452509163509604,-0.07996624599540313,-0.02040707911571066,-0.10060189857464072,-0.02567321846671919
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,9,0.8187990883102385,-4.203094343749064,-5.0218934320593025,1.9108442774445202,-8.255828590945487,-2.0896605832924786,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.06312821357704466,-0.07941873549798976,-0.10378071888533934,-0.026268287328336432,-0.13056180423808297,-0.0330469380504211
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,10,0.6075453424480206,-5.7249175096673035,-6.332462852115324,2.4268521606303817,-10.499044925813106,-2.6421751884939852,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.07960285752880088,-0.1001447360655689,-0.13197929414442622,-0.03321372742448248,-0.16603714977733844,-0.04178468047425446
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,11,0.35387401910778965,-7.468064889610182,-7.821938908717971,3.023565927989111,-13.058186151415923,-3.245348702135576,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.09832646524593013,-0.12370005570153476,-0.164149234834989,-0.04079598039506546,-0.20650868961541272,-0.051323568223939575
2026-07-01,retrenchment,Cyclical retrenchment,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,0.06430177962080869,-9.429183686032662,-9.493485465653471,3.7059443709394744,-15.95785701867429,-3.9018243433660706,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.570599999999999,794.8781,-0.11933880839454351,-0.15013472933087918,-0.200599837438947,-0.04904827309071752,-0.2523655355946364,-0.06170540248966165
2026-07-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,0,-0.0717122424429228,-0.0717122424429228,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.794599999999999,794.8781,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,1,0.9407247507519245,1.5188128920686064,0.5780881413166818,0.18286772886644942,0.30035978592042617,0.8860612391364886,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.794599999999999,794.8781,0.007396406532890417,0.009305082795576349,0.0038429833169374844,0.011336799130255716,0.004834682597164879,0.014262311579921142
2026-07-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,2,1.4559922857930752,2.994706108087521,1.5387138222944459,0.4271023262116753,0.8173328725637029,2.2464189719118077,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.794599999999999,794.8781,0.019687227870728515,0.024767606342064923,0.010457447171303553,0.028742032178022816,0.013156038858415589,0.036159043981741114
2026-07-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,3,1.9237073880019349,4.897515841651744,2.9738084536498093,0.819891886316452,1.5941645172918655,4.327254346534433,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.794599999999999,794.8781,0.03804868964106785,0.04786732662664608,0.020396697332942502,0.05536548846216945,0.02566015761780643,0.06965280394839089
2026-07-01,intensifying,Intensifying pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,4,2.2196690430633037,7.050909458812498,4.831240415749194,1.331701859776614,2.631158616213318,7.099000701714681,statsmodels_ardl_ar2_factor_lags_0_2,156,2026,12.794599999999999,794.8781,0.061813788623344634,0.07776511722155213,0.033664622031002914,0.09082887437815866,0.042351930479658344,0.11426767749439651
