method,target,candidate,period,lead_months,correlation,common_sample_correlation,circular_shift_p,familywise_p_0_18,search_max_lead,n,ar_lags
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,15,-0.27549760484603947,-0.26633454429025494,0.5,1.0,18,21,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,16,-0.01029423366896981,-0.004760016300653453,1.0,1.0,18,20,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,17,0.007827275195095601,0.02195100012819132,1.0,1.0,18,19,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pre_2020,18,-0.07152688408583271,-0.07152688408583271,0.5,1.0,18,18,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,0,-0.17596313429864646,-0.36714004279420176,0.5,1.0,18,36,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,1,0.13834118163669973,-0.016596286129482572,1.0,1.0,18,35,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,2,0.05123060493747124,0.15702680298745503,1.0,1.0,18,34,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,3,0.010393641845949025,0.19465213915912566,0.5,1.0,18,33,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,4,0.2213075377554093,0.20606334613538763,1.0,1.0,18,32,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,5,0.021534791100714927,0.06887373941441621,0.5,1.0,18,31,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,6,-0.38626373722107865,-0.37698500884321656,0.5,1.0,18,30,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,7,-0.37023235727929205,-0.41373319838546563,0.5,1.0,18,29,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,8,0.11852927949034406,0.10083850017687036,1.0,1.0,18,28,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,9,-0.049078969812424336,0.025466794060858677,1.0,1.0,18,27,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,10,0.1908227629838474,0.2568820811451895,0.5,1.0,18,26,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,11,0.3628465410589305,0.4511586094236322,0.5,1.0,18,25,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,12,0.060208581736841564,0.212275029326297,1.0,1.0,18,24,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,13,-0.35844000865195014,-0.3511941114779924,0.5,1.0,18,23,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,14,-0.13275969323533468,-0.19855891004994972,0.5,1.0,18,22,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,15,-0.09326422200861925,-0.08581114246629669,0.5,1.0,18,21,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,16,-0.47279638515871436,-0.4427089379414795,0.5,1.0,18,20,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,17,0.3110902647212265,0.3493549780688378,0.5,1.0,18,19,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,pandemic_2020_2022,18,0.20949643075649338,0.20949643075649338,0.5,1.0,18,18,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,0,-0.158456652110282,-0.19017287446288253,0.5,1.0,18,43,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,1,-0.04053003286549261,-0.10479879619612091,0.5,1.0,18,42,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,2,0.07294397505950084,-0.04432527541241972,1.0,1.0,18,41,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,3,0.02663264999705596,0.10969152869598206,1.0,1.0,18,40,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,4,-0.19260621480788345,-0.3187943614601235,0.5,1.0,18,39,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,5,0.2743427259277119,0.21150199308902806,0.5,1.0,18,38,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,6,-0.16971607487307866,-0.30283426579682227,0.5,1.0,18,37,12
prewhitened_ar,headline_12m_pct,jp_epi_electronics_gbp_12m_pct,post_2022,7,0.16882507328904958,0.2425876135808509,0.5,1.0,18,36,12
