outcome,horizon,n,response_pp_per_innovation_sd,standard_error,lower_90,upper_90,p_value,r_squared,fdr_q
uk_ipi_c26_12m_pct,0,152,1.1201197068858533,0.2659895956311948,0.6825668220725378,1.5576725916991687,2.5408402426840232e-05,0.9137271699833942,0.000330309231548923
uk_ipi_c26_12m_pct,1,151,1.5201563078770155,0.45670544574995164,0.768875849618345,2.271436766135686,0.000873066100917134,0.7898284097389643,0.004851474328320052
uk_ipi_c26_12m_pct,2,150,1.8074040037271364,0.5546538806978747,0.8949983699791325,2.7198096374751404,0.001119570998843089,0.6739949539419259,0.004851474328320052
uk_ipi_c26_12m_pct,3,149,2.0356538516055247,0.8616881315102044,0.6181768752712384,3.4531308279398107,0.01815693640109431,0.5556474749175953,0.059010043303556504
uk_ipi_c26_12m_pct,4,148,1.888794845837845,1.1213686851270785,0.044143358803800714,3.733446332871889,0.09211103333973655,0.4593015245802018,0.1995739055694292
uk_ipi_c26_12m_pct,5,147,1.5133944393380192,1.500863934255794,-0.9555267325127619,3.9823156111888003,0.31328701375001256,0.3491153265270305,0.5090913973437704
uk_ipi_c26_12m_pct,6,146,1.4559407073787143,1.7228703655091344,-1.3781810438838118,4.29006245864124,0.3980734915035917,0.2964821847221937,0.5396407969390298
uk_ipi_c26_12m_pct,7,146,0.9930499978509597,1.7634250619608194,-1.9077842290745881,3.8938842247765075,0.5733415601476488,0.247550084320033,0.677585480174494
uk_ipi_c26_12m_pct,8,146,0.20435555157579643,1.975507158121071,-3.045353723533365,3.4540648266849585,0.9176101147738986,0.21663771226710504,0.9176101147738986
uk_ipi_c26_12m_pct,9,146,-0.7084296491534601,2.0674539208583473,-4.109391348965442,2.6925320506585213,0.7318557543671897,0.1961637933382776,0.7928437338977888
uk_ipi_c26_12m_pct,10,145,-1.7735750285602276,2.1763335969424014,-5.353643795530478,1.8064937384100226,0.41510830533771526,0.22064625057031773,0.5396407969390298
uk_ipi_c26_12m_pct,11,144,-2.4892986612347854,2.190285697253298,-6.092318633216461,1.11372131074689,0.25573992424477676,0.2049308736844534,0.4749455735974426
uk_ipi_c26_12m_pct,12,143,-3.8294356592300147,2.1923301853332937,-7.435818814103283,-0.22305250435674662,0.08068206607653423,0.20640527975028833,0.1995739055694292
uk_ipi_c261_12m_pct,0,152,0.8569154437246295,0.19060783195066835,0.5433655601657801,1.1704653272834789,6.93417640829358e-06,0.9672151410392212,9.014429330781653e-05
uk_ipi_c261_12m_pct,1,151,1.1396860999181475,0.3484890494550419,0.5664216135646036,1.7129505862716914,0.0010740911233692455,0.892961014285191,0.006981592301900095
uk_ipi_c261_12m_pct,2,150,1.2646694209149478,0.5048147499247787,0.43424915728868685,2.095089684541209,0.012237702200462068,0.812718107415097,0.03977253215150172
uk_ipi_c261_12m_pct,3,149,1.5714832440973487,0.5542704973934349,0.6597082758851482,2.4832582123095492,0.0045792988610894566,0.7526100421060022,0.01984362839805431
uk_ipi_c261_12m_pct,4,148,1.2903657292145039,0.7821108919936848,0.003793311884892514,2.5769381465441152,0.09897359996955718,0.6821223049781596,0.25733135992084866
uk_ipi_c261_12m_pct,5,147,1.1483830886499176,0.9519172788955262,-0.41752083513322313,2.7142870124330583,0.22766731091671288,0.6351783163667503,0.3699593802396584
uk_ipi_c261_12m_pct,6,146,1.6184971249687412,1.1181406954635933,-0.2208443190688698,3.457838569006352,0.14775982287505646,0.601428159154668,0.32014628289595565
uk_ipi_c261_12m_pct,7,146,1.4884035874554313,1.107768876909524,-0.3338762150607357,3.310683389971598,0.17907621442077626,0.542351685708001,0.3325701124957274
