"Title","PPI INDEX IMPORT - C26 Computer, electronic and optical products 2015=100"
"CDID","G68Q"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"2021 NOV","112.8"
"2021 DEC","113.3"
"2022 JAN","112.0"
"2022 FEB","113.9"
"2022 MAR","114.7"
"2022 APR","115.4"
"2022 MAY","116.2"
"2022 JUN","118.6"
"2022 JUL","120.8"
"2022 AUG","120.6"
"2022 SEP","131.0"
"2022 OCT","131.3"
"2022 NOV","129.5"
"2022 DEC","128.2"
"2023 JAN","129.4"
"2023 FEB","130.9"
"2023 MAR","130.5"
"2023 APR","128.4"
"2023 MAY","127.3"
"2023 JUN","126.9"
"2023 JUL","126.5"
"2023 AUG","126.9"
"2023 SEP","127.7"
"2023 OCT","128.5"
"2023 NOV","128.3"
"2023 DEC","128.0"
"2024 JAN","127.5"
"2024 FEB","127.3"
"2024 MAR","127.1"
"2024 APR","127.9"
"2024 MAY","129.5"
"2024 JUN","128.3"
"2024 JUL","127.7"
"2024 AUG","128.1"
"2024 SEP","126.9"
"2024 OCT","127.4"
"2024 NOV","127.6"
"2024 DEC","127.4"
"2025 JAN","129.0"
"2025 FEB","127.9"
"2025 MAR","127.5"
"2025 APR","127.2"
"2025 MAY","126.2"
"2025 JUN","125.6"
"2025 JUL","126.9"
"2025 AUG","127.1"
"2025 SEP","127.0"
"2025 OCT","127.2"
"2025 NOV","127.8"
"2025 DEC","127.0"
"2026 JAN","126.4"
"2026 FEB","126.4"
"2026 MAR","126.3"
"2026 APR","126.7"
"2026 MAY","126.3"
"2026 JUN","126.4"
