"Title","PPI INDEX IMPORT - C Manufactured products 2015=100"
"CDID","GB8U"
"Source dataset ID","PPI"
"PreUnit",""
"Unit",""
"Release date","22-07-2026"
"Next release","19 August 2026"
"Important notes",
"2021 NOV","123.3"
"2021 DEC","124.4"
"2022 JAN","124.1"
"2022 FEB","125.8"
"2022 MAR","129.4"
"2022 APR","132.6"
"2022 MAY","135.3"
"2022 JUN","137.9"
"2022 JUL","137.8"
"2022 AUG","140.6"
"2022 SEP","147.4"
"2022 OCT","147.7"
"2022 NOV","145.3"
"2022 DEC","143.5"
"2023 JAN","146.9"
"2023 FEB","147.1"
"2023 MAR","146.2"
"2023 APR","145.0"
"2023 MAY","145.0"
"2023 JUN","143.5"
"2023 JUL","142.8"
"2023 AUG","143.2"
"2023 SEP","144.7"
"2023 OCT","145.8"
"2023 NOV","145.7"
"2023 DEC","144.4"
"2024 JAN","144.2"
"2024 FEB","144.2"
"2024 MAR","144.2"
"2024 APR","144.1"
"2024 MAY","144.2"
"2024 JUN","143.7"
"2024 JUL","143.0"
"2024 AUG","143.4"
"2024 SEP","141.7"
"2024 OCT","141.6"
"2024 NOV","142.4"
"2024 DEC","142.1"
"2025 JAN","143.8"
"2025 FEB","143.3"
"2025 MAR","144.1"
"2025 APR","144.2"
"2025 MAY","142.8"
"2025 JUN","142.8"
"2025 JUL","144.1"
"2025 AUG","144.1"
"2025 SEP","144.2"
"2025 OCT","144.7"
"2025 NOV","146.6"
"2025 DEC","145.3"
"2026 JAN","144.7"
"2026 FEB","145.1"
"2026 MAR","148.4"
"2026 APR","150.5"
"2026 MAY","151.5"
"2026 JUN","152.2"
