series_group,file,retrieved_at_utc,source_url,sha256,bytes
South Korea BOK extracted technology export prices,technology_export_prices.csv,2026-07-29T22:12:21.467310+00:00,https://www.bok.or.kr/eng/singl/newsDataEng/listCont.do,3c3193b0208615a3f4c976ca484d163d3656c0e90a7a4f1401ac7cf3fae73e4b,33085
South Korea BOK release source register,release_sources.csv,2026-07-29T22:12:21.467310+00:00,https://www.bok.or.kr/eng/singl/newsDataEng/listCont.do,d0d50acff55cff10c469f12325081126011468fccf39594aeacc422185e56b5f,33695
