page_url,title,release_date,date,file_url,suffix,file
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10059251&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - June 2020,2020-07-15,2020-06-01,https://www.bok.or.kr/fileSrc/eng/c34654217b92049d97787842be0dcade/3/202007141100365842.xlsx,.xlsx,202006.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10059785&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - July 2020,2020-08-14,2020-07-01,https://www.bok.or.kr/fileSrc/eng/e1c37a87d6da5472e6ea629084606656/3/202008130450162792.xlsx,.xlsx,202007.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10060265&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - August 2020,2020-09-15,2020-08-01,https://www.bok.or.kr/fileSrc/eng/63301d435c1ee0b3d6ed11d30e948e04/3/202009140427592892.xlsx,.xlsx,202008.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10060739&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - September 2020,2020-10-16,2020-09-01,https://www.bok.or.kr/fileSrc/eng/90d60a21c238a18e3be3bba4849976a4/3/202010150224570232.xlsx,.xlsx,202009.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10061194&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - October 2020,2020-11-12,2020-10-01,https://www.bok.or.kr/fileSrc/eng/eb664151c559b287c8b3211eb37378dd/3/202011111052203652.xlsx,.xlsx,202010.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10061786&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - November 2020,2020-12-16,2020-11-01,https://www.bok.or.kr/fileSrc/eng/705e1ec0a964a9b613b7abb697d19125/3/202012150455496432.xlsx,.xlsx,202011.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10062374&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - December 2020,2021-01-14,2020-12-01,https://www.bok.or.kr/fileSrc/eng/c64b0785e5e7263178d7d36aa211c860/3/202101130455470802.xlsx,.xlsx,202012.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10062935&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - January 2021,2021-02-16,2021-01-01,https://www.bok.or.kr/fileSrc/eng/d150301c2e94070479edc9c2c14e7293/3/202102150839072632.xlsx,.xlsx,202101.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10063422&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - February 2021,2021-03-16,2021-02-01,https://www.bok.or.kr/fileSrc/eng/7563c0e9b2c03b4eaced219ad39bcece/3/202103150446193361.xlsx,.xlsx,202102.xlsx
https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10063955&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,Export and Import Price Indexes - March 2021,2021-04-14,2021-03-01,https://www.bok.or.kr/fileSrc/eng/448dc52674c70377961998b4395870e9/3/202104130834202022.xlsx,.xlsx,202103.xlsx
